pulled_at,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,dg_id,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,player_name,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count,last_updated,time_period
2026-07-13T05:31:47+00:00,0.85,0.084,0.0,0.963,18.695,0.051,640.0,0.751,0.054,0.0,0.968,27.022,0.062,869.0,0.897,0.108,0.0,0.967,14.403,0.105,212.0,18417,0.395,0.067,0.0,0.976,55.288,0.074,252.0,0.494,0.075,0.0,0.97,40.543,0.064,465.0,"Scheffler, Scottie",0.585,0.074,0.0,0.939,37.837,0.044,229.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.822,0.07,0.0,0.959,21.158,0.031,343.0,0.731,0.054,0.0,0.958,27.827,0.061,425.0,0.81,0.075,0.0,0.935,18.016,-0.003,93.0,7108,0.381,0.033,0.0,0.983,53.14,0.066,120.0,0.502,0.052,0.0,0.981,44.312,0.069,211.0,"Casey, Paul",0.539,0.022,0.0,0.891,43.034,-0.071,137.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.793,0.071,0.0,0.929,22.571,-0.019,225.0,0.724,0.08,0.0,0.974,28.244,0.061,313.0,0.869,0.083,0.0,0.948,19.505,-0.011,96.0,22736,0.365,0.047,0.0,0.953,59.66,0.001,85.0,0.468,0.043,0.0,0.957,45.121,0.012,162.0,"Rosenmueller, Thomas",0.523,0.035,0.0,0.947,40.631,-0.03,114.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.833,0.075,0.0,0.905,21.244,0.01,147.0,0.723,0.075,0.0,0.975,27.056,0.054,160.0,0.637,0.032,0.0,0.806,21.908,-0.189,31.0,32319,0.315,0.022,1.0,0.911,80.382,-0.096,45.0,0.452,0.033,0.0,1.0,43.647,0.017,92.0,"Koivun, Jackson",0.493,0.106,0.0,0.979,40.617,0.004,47.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.817,0.09,0.0,0.952,20.001,0.042,645.0,0.722,0.075,0.0,0.969,27.327,0.052,903.0,0.861,0.119,0.0,0.948,14.605,0.079,193.0,13562,0.286,0.043,0.0,0.974,58.661,-0.002,349.0,0.498,0.071,0.0,0.962,40.016,0.057,476.0,"Matsuyama, Hideki",0.544,0.073,0.0,0.949,38.284,0.007,313.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.809,0.04,0.0,0.951,21.289,-0.015,471.0,0.743,0.072,0.0,0.961,28.409,0.052,512.0,0.865,0.079,0.0,0.927,17.534,0.035,151.0,18079,0.422,0.077,0.0,0.959,49.988,0.054,169.0,0.476,0.055,0.0,0.955,41.97,0.042,309.0,"Niemann, Joaquin",0.622,0.109,0.0,0.945,33.564,0.056,220.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.813,0.094,0.0,0.943,18.992,0.052,489.0,0.731,0.068,0.0,0.959,26.318,0.052,764.0,0.846,0.124,0.0,0.947,16.902,0.036,170.0,18841,0.353,0.066,0.0,0.969,61.992,0.021,256.0,0.503,0.071,0.0,0.963,41.037,0.052,410.0,"Hovland, Viktor",0.602,0.075,0.0,0.93,38.115,0.019,200.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.775,0.096,0.0,0.931,20.887,0.025,648.0,0.708,0.085,0.0,0.961,27.442,0.049,985.0,0.856,0.085,0.0,0.927,16.272,0.028,247.0,14609,0.384,0.055,0.0,0.956,63.969,0.0,271.0,0.499,0.097,0.0,0.969,39.005,0.083,554.0,"Kim, Si Woo",0.474,0.071,0.0,0.944,39.305,-0.027,252.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.858,0.077,0.0,0.949,19.496,0.05,701.0,0.746,0.065,0.0,0.973,27.612,0.049,963.0,0.815,0.068,0.0,0.943,18.491,-0.014,192.0,17576,0.314,0.044,0.0,0.969,63.867,-0.004,228.0,0.487,0.061,0.0,0.976,44.011,0.043,510.0,"Conners, Corey",0.544,0.042,0.0,0.958,39.418,-0.016,215.0,2026-07-06 14:43:23 UTC,last 24 months
2026-07-13T05:31:47+00:00,0.825,0.059,0.0,0.951,20.432,0.017,510.0,0.748,0.077,0.0,0.968,27.785,0.046,771.0,0.849,0.125,0.0,0.941,16.583,0.037,136.0,19895,0.376,0.054,0.0,0.942,60.615,0.005,260.0,0.535,0.073,0.0,0.964,39.69,0.062,385.0,"Schauffele, Xander",0.595,0.06,0.0,0.963,37.546,0.043,267.0,2026-07-06 14:43:23 UTC,last 24 months
