pulled_at,dg_id,early_late_wave,player_name,proj_ownership,proj_points_finish,proj_points_scoring,proj_points_total,r1_teetime,salary,site_name_id,std_dev,value,event_name,last_updated,note,site,slate,tour
2026-07-13T05:31:47+00:00,18417,0,"Scheffler, Scottie",22.93,10.06,78.68,88.74,1:43 pm,14000,Scottie Scheffler (43502096),32.34,-0.62,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,10091,1,"McIlroy, Rory",20.48,8.09,74.9,82.99,8:28 am,12000,Rory McIlroy (43502097),32.92,-0.01,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,19195,0,"Rahm, Jon",15.67,6.31,68.72,75.04,2:05 pm,11500,Jon Rahm (43502098),32.22,-0.35,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,17646,0,"Fitzpatrick, Matt",17.05,5.72,66.98,72.7,1:43 pm,9900,Matt Fitzpatrick (43502099),31.08,0.4,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,19895,1,"Schauffele, Xander",14.85,6.44,69.22,75.66,8:06 am,9800,Xander Schauffele (43502100),32.82,0.76,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,23950,0,"Aberg, Ludvig",15.36,5.82,68.11,73.93,1:54 pm,9600,Ludvig Aberg (43502101),32.33,0.73,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,12294,0,"Fleetwood, Tommy",15.63,6.32,68.74,75.07,1:43 pm,9400,Tommy Fleetwood (43502102),31.69,0.97,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,27774,1,"Gotterup, Chris",17.39,5.47,66.96,72.43,8:28 am,9300,Chris Gotterup (43502103),32.32,0.78,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,23604,1,"Clark, Wyndham",17.98,4.39,63.03,67.42,8:39 am,9200,Wyndham Clark (43502104),31.47,0.36,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,18841,1,"Hovland, Viktor",12.29,4.33,62.41,66.74,8:39 am,9100,Viktor Hovland (43502105),31.0,0.36,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,23323,1,"MacIntyre, Robert",17.21,4.41,62.16,66.57,8:28 am,9000,Robert MacIntyre (43502106),30.84,0.41,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,14796,1,"Hatton, Tyrrell",20.78,4.67,63.29,67.96,8:50 am,8900,Tyrrell Hatton (43502107),31.89,0.62,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,15466,1,"Cantlay, Patrick",7.34,3.98,60.06,64.04,7:55 am,8800,Patrick Cantlay (43502108),30.67,0.3,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,14609,0,"Kim, Si Woo",5.65,3.4,57.82,61.22,1:32 pm,8700,Si Woo Kim (43502109),29.91,0.09,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,14139,0,"Thomas, Justin",11.3,4.36,62.3,66.66,1:54 pm,8600,Justin Thomas (43502110),31.94,0.69,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,17536,1,"Spaun, J.J.",5.72,3.24,56.93,60.17,8:17 am,8500,J.J. Spaun (43502111),29.84,0.13,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,21891,1,"Kitayama, Kurt",10.47,4.03,61.38,65.4,8:06 am,8400,Kurt Kitayama (43502112),31.28,0.71,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,14577,0,"English, Harris",4.99,2.97,55.35,58.32,12:59 pm,8300,Harris English (43502113),29.17,0.08,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,16841,1,"Lee, Min Woo",10.94,4.17,61.67,65.84,7:44 am,8200,Min Woo Lee (43502114),31.56,0.88,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,28984,0,"Puig, David",7.25,2.79,55.59,58.39,12:26 pm,8100,David Puig (43502115),30.08,0.22,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,16243,1,"Koepka, Brooks",7.62,2.14,51.64,53.78,7:44 am,8000,Brooks Koepka (43502117),28.88,-0.12,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,23602,1,"Hojgaard, Nicolai",16.92,4.1,61.44,65.54,7:55 am,8000,Nicolai Hojgaard (43502116),31.46,0.99,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,21407,1,"Reitan, Kristoffer",14.15,3.58,60.04,63.62,8:06 am,7900,Kristoffer Reitan (43502119),30.96,0.87,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,25362,0,"Fitzpatrick, Alex",13.47,4.11,60.85,64.95,2:05 pm,7900,Alex Fitzpatrick (43502118),30.99,1.0,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,13900,1,"Lowry, Shane",9.38,3.44,58.1,61.54,8:17 am,7800,Shane Lowry (43502121),30.1,0.73,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
2026-07-13T05:31:47+00:00,6430,1,"Scott, Adam",8.5,3.3,57.17,60.47,8:06 am,7800,Adam Scott (43502122),30.63,0.63,Genesis Scottish Open,2026-07-12 02:00:47 UTC,projections released,draftkings,main,pga
