event_name,am,country,dg_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,updated_at
BMW Championship,0,SWE,23950,8,17,"Aberg, Ludvig",52955,3728,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 09:47', 'wave': 'early'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 12:31', 'wave': 'late'}]",10,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,26096,62,33,"Bhatia, Akshay",56630,1070,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 10:38', 'wave': 'early'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 13:22', 'wave': 'late'}]",15,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,29197,42,34,"Brennan, Michael",61522,2159,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 11:18', 'wave': 'early'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 13:55', 'wave': 'late'}]",47,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,29433,35,31,"Bridgeman, Jacob",60004,1089,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 13:44', 'wave': 'late'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 11:18', 'wave': 'early'}]",12,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,19483,3,7,"Burns, Sam",47504,3139,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 10:49', 'wave': 'early'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 13:33', 'wave': 'late'}]",6,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,15466,10,38,"Cantlay, Patrick",35450,2754,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 11:29', 'wave': 'late'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 09:03', 'wave': 'early'}]",43,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,14502,45,42,"Cauley, Bud",34021,1125,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 12:31', 'wave': 'late'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 10:05', 'wave': 'early'}]",29,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,23604,14,8,"Clark, Wyndham",51766,3163,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 10:49', 'wave': 'early'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 13:33', 'wave': 'late'}]",5,2026-08-21T10:18:28+00:00
BMW Championship,0,USA,21756,71,75,"Cole, Eric",47591,728,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 11:18', 'wave': 'early'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 13:55', 'wave': 'late'}]",48,2026-08-21T10:18:28+00:00
BMW Championship,0,COL,22833,69,56,"Echavarria, Nico",51349,1076,"[{'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-08-20 11:40', 'wave': 'late'}, {'course_code': '', 'course_name': 'Bellerive Country Club', 'course_num': 679, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-08-21 09:14', 'wave': 'early'}]",42,2026-08-21T10:18:28+00:00
