pulled_at,calendar_year,date,dk_ownerships,dk_salaries,event_id,event_name,fd_ownerships,fd_salaries,tour
2026-07-13T05:31:47+00:00,2026,2026-07-12,no,yes,518,ISCO Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-07-12,yes,yes,541,Genesis Scottish Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-07-05,no,yes,2026124,BMW International Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-07-05,yes,yes,30,John Deere Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-06-28,yes,yes,34,Travelers Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-06-28,no,yes,2026123,DS Automobiles 83° Open d’Italia,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-06-21,yes,yes,26,U.S. Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-06-14,yes,yes,32,RBC Canadian Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-06-07,yes,yes,23,the Memorial Tournament presented by Workday,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-06-07,no,yes,2026121,KLM Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-05-31,yes,yes,21,Charles Schwab Challenge,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-05-31,no,yes,2026120,Austrian Alpine Open presented by Kitzbühel Tirol,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-05-24,no,yes,2026119,Soudal Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-05-24,yes,yes,19,THE CJ CUP Byron Nelson,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-05-17,yes,yes,33,PGA Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-05-10,no,yes,553,ONEflight Myrtle Beach Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-05-10,yes,yes,480,Truist Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-05-10,no,yes,2026117,Estrella Damm Catalunya Championship,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-05-03,yes,yes,556,Cadillac Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-05-03,no,yes,2026116,Turkish Airlines Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-04-26,no,yes,2026115,Volvo China Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-04-19,yes,yes,12,RBC Heritage,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-04-12,yes,yes,14,Masters Tournament,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-04-05,yes,yes,41,Valero Texas Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-03-29,no,yes,2026113,Hero Indian Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-03-29,yes,yes,20,Texas Children's Houston Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-03-22,no,yes,2026112,Hainan Classic presented by MAEXTRO,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-03-22,yes,yes,475,Valspar Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-03-15,yes,yes,11,THE PLAYERS Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-03-08,yes,yes,9,Arnold Palmer Invitational presented by Mastercard,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-03-08,no,yes,483,Puerto Rico Open,no,no,pga
2026-07-13T05:31:47+00:00,2026,2026-03-08,no,yes,2026111,Joburg Open,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-03-01,no,yes,2026110,Investec South African Open Championship,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-03-01,yes,yes,10,Cognizant Classic in The Palm Beaches,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-02-22,no,yes,2026109,Magical Kenya Open presented by absa,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-02-22,yes,yes,7,The Genesis Invitational,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-02-15,yes,yes,5,AT&T Pebble Beach Pro-Am,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-02-08,no,yes,2026145,Qatar Masters,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-02-08,yes,yes,3,WM Phoenix Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-02-01,no,yes,2026107,Bapco Energies Bahrain Championship,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-02-01,yes,yes,4,Farmers Insurance Open,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-01-25,no,yes,2026106,Hero Dubai Desert Classic,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-01-25,yes,yes,2,The American Express,no,yes,pga
2026-07-13T05:31:47+00:00,2026,2026-01-18,no,yes,2026105,Dubai Invitational,no,no,euro
2026-07-13T05:31:47+00:00,2026,2026-01-18,yes,yes,6,Sony Open in Hawaii,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-12-21,no,yes,2026104,AfrAsia Bank Mauritius Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-12-14,no,yes,2026103,Alfred Dunhill Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-12-07,no,yes,2026102,Nedbank Golf Challenge in honour of Gary Player,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-12-07,yes,yes,478,Hero World Challenge,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-11-30,no,yes,2026100,BMW Australian PGA Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-11-23,yes,yes,493,The RSM Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-11-16,yes,yes,528,Butterfield Bermuda Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-11-16,no,yes,2025137,DP World Tour Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-11-09,yes,yes,457,World Wide Technology Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-11-09,no,yes,2025136,Abu Dhabi HSBC Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-10-26,no,yes,2025135,Genesis Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-10-26,yes,yes,554,Bank of Utah Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-10-19,no,yes,2025141,DP World India Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-10-12,no,yes,2025134,Open de España presented by Madrid,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-10-12,yes,yes,527,Baycurrent Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-10-05,yes,yes,54,Sanderson Farms Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-10-05,no,yes,2025133,Alfred Dunhill Links Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-09-21,no,yes,2025131,FedEx Open de France,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-09-14,yes,yes,464,Procore Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-09-14,no,yes,2025130,BMW PGA Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-09-07,no,yes,2025129,Amgen Irish Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-08-31,no,yes,2025128,Omega European Masters,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-08-24,no,yes,2025127,Betfred British Masters hosted by Sir Nick Faldo,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-08-24,yes,yes,60,TOUR Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-08-17,no,yes,2025126,Danish Golf Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-08-17,yes,yes,28,BMW Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-08-10,yes,yes,27,FedEx St. Jude Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-08-10,no,yes,2025125,Nexo Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-08-03,yes,yes,13,Wyndham Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-07-27,yes,yes,525,3M Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-07-20,yes,yes,100,The Open Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-07-13,no,yes,518,ISCO Championship,no,no,pga
2026-07-13T05:31:47+00:00,2025,2025-07-13,yes,yes,541,Genesis Scottish Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-07-06,yes,yes,30,John Deere Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-07-06,no,yes,2025120,BMW International Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-06-29,yes,yes,524,Rocket Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-06-29,no,yes,2025119,Italian Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-06-22,yes,yes,34,Travelers Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-06-15,yes,yes,26,U.S. Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-06-08,yes,yes,32,RBC Canadian Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-06-08,no,yes,2025118,KLM Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-06-01,yes,yes,23,the Memorial Tournament presented by Workday,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-06-01,no,yes,2025143,Austrian Alpine Open presented by SalzburgerLand,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-05-25,yes,yes,21,Charles Schwab Challenge,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-05-25,no,yes,2025117,Soudal Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-05-18,yes,yes,33,PGA Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-05-11,no,yes,553,ONEflight Myrtle Beach Classic,no,no,pga
2026-07-13T05:31:47+00:00,2025,2025-05-11,no,yes,2025140,Turkish Airlines Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-05-11,yes,yes,480,Truist Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-05-04,yes,yes,19,THE CJ CUP Byron Nelson,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-04-27,no,yes,2025139,Hainan Classic,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-04-20,no,yes,2025115,Volvo China Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-04-20,yes,yes,12,RBC Heritage,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-04-20,no,yes,522,Corales Puntacana Championship,no,no,pga
2026-07-13T05:31:47+00:00,2025,2025-04-13,yes,yes,14,Masters Tournament,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-04-06,yes,yes,41,Valero Texas Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-03-30,no,yes,2025113,Hero Indian Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-03-30,yes,yes,20,Texas Children's Houston Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-03-23,no,yes,2025112,Porsche Singapore Classic,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-03-23,yes,yes,475,Valspar Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-03-16,yes,yes,11,THE PLAYERS Championship,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-03-09,no,yes,2025111,Joburg Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-03-09,yes,yes,9,Arnold Palmer Invitational presented by Mastercard,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-03-09,no,yes,483,Puerto Rico Open,no,no,pga
2026-07-13T05:31:47+00:00,2025,2025-03-02,no,yes,2025110,Investec South African Open Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-03-02,yes,yes,10,Cognizant Classic in The Palm Beaches,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-02-23,no,yes,2025109,Magical Kenya Open,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-02-23,yes,yes,540,Mexico Open at VidantaWorld,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-02-16,yes,yes,7,The Genesis Invitational,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-02-09,yes,yes,3,WM Phoenix Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-02-09,no,yes,2025142,Commercial Bank Qatar Masters,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-02-02,yes,yes,5,AT&T Pebble Beach Pro-Am,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-02-02,no,yes,2025108,Bapco Energies Bahrain Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-01-26,no,yes,2025107,Ras Al Khaimah Championship,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-01-25,yes,yes,4,Farmers Insurance Open,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-01-19,yes,yes,2,The American Express,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-01-19,no,yes,2025106,Hero Dubai Desert Classic,no,no,euro
2026-07-13T05:31:47+00:00,2025,2025-01-12,yes,yes,6,Sony Open in Hawaii,no,yes,pga
2026-07-13T05:31:47+00:00,2025,2025-01-05,yes,yes,16,The Sentry,no,yes,pga
2026-07-13T05:31:47+00:00,2024,2024-12-22,no,yes,2025104,AfrAsia Bank Mauritius Open,no,no,euro
2026-07-13T05:31:47+00:00,2024,2024-12-15,no,yes,2025103,Alfred Dunhill Championship,no,no,euro
2026-07-13T05:31:47+00:00,2024,2024-12-08,no,yes,2025102,Nedbank Golf Challenge,no,no,euro
2026-07-13T05:31:47+00:00,2024,2024-12-08,yes,yes,478,Hero World Challenge,no,yes,pga
2026-07-13T05:31:47+00:00,2024,2024-11-24,no,yes,2025100,BMW Australian PGA Championship,no,no,euro
2026-07-13T05:31:47+00:00,2024,2024-11-24,yes,yes,493,The RSM Classic,no,yes,pga
2026-07-13T05:31:47+00:00,2024,2024-11-17,no,yes,2024142,DP World Tour Championship,no,no,euro
2026-07-13T05:31:47+00:00,2024,2024-11-17,yes,yes,528,Butterfield Bermuda Championship,no,yes,pga
