pulled_at,archived_preds,calendar_year,event_id,event_name,matchups,outrights
2026-07-13T05:31:47+00:00,no,2019,2,Desert Classic,yes,no
2026-07-13T05:31:47+00:00,yes,2020,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,yes,2021,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,yes,2022,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,yes,2023,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,yes,2024,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,yes,2025,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,yes,2026,2,The American Express,yes,yes
2026-07-13T05:31:47+00:00,no,2019,3,Waste Management Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2020,3,Waste Management Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2021,3,Waste Management Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2022,3,WM Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2023,3,WM Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2024,3,WM Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2025,3,WM Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2026,3,WM Phoenix Open,yes,yes
2026-07-13T05:31:47+00:00,no,2019,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2020,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2021,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2022,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2023,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2024,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2025,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,yes,2026,4,Farmers Insurance Open,yes,yes
2026-07-13T05:31:47+00:00,no,2019,5,AT&T Pebble Beach Pro-Am,yes,yes
