pulled_at,calendar_year,date,event_id,event_name,tour
2026-07-13T05:31:47+00:00,2026,2026-07-12,541,Genesis Scottish Open,pga
2026-07-13T05:31:47+00:00,2026,2026-07-12,518,ISCO Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-07-05,30,John Deere Classic,pga
2026-07-13T05:31:47+00:00,2026,2026-06-28,34,Travelers Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-06-21,26,U.S. Open,pga
2026-07-13T05:31:47+00:00,2026,2026-06-14,32,RBC Canadian Open,pga
2026-07-13T05:31:47+00:00,2026,2026-06-07,23,the Memorial Tournament presented by Workday,pga
2026-07-13T05:31:47+00:00,2026,2026-05-31,21,Charles Schwab Challenge,pga
2026-07-13T05:31:47+00:00,2026,2026-05-24,19,THE CJ CUP Byron Nelson,pga
2026-07-13T05:31:47+00:00,2026,2026-05-17,33,PGA Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-05-10,553,ONEflight Myrtle Beach Classic,pga
2026-07-13T05:31:47+00:00,2026,2026-05-10,480,Truist Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-05-03,556,Cadillac Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-04-26,18,Zurich Classic of New Orleans,pga
2026-07-13T05:31:47+00:00,2026,2026-04-19,12,RBC Heritage,pga
2026-07-13T05:31:47+00:00,2026,2026-04-12,14,Masters Tournament,pga
2026-07-13T05:31:47+00:00,2026,2026-04-05,41,Valero Texas Open,pga
2026-07-13T05:31:47+00:00,2026,2026-03-29,20,Texas Children's Houston Open,pga
2026-07-13T05:31:47+00:00,2026,2026-03-22,475,Valspar Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-03-15,11,THE PLAYERS Championship,pga
2026-07-13T05:31:47+00:00,2026,2026-03-08,483,Puerto Rico Open,pga
2026-07-13T05:31:47+00:00,2026,2026-03-08,9,Arnold Palmer Invitational presented by Mastercard,pga
2026-07-13T05:31:47+00:00,2026,2026-03-01,10,Cognizant Classic in The Palm Beaches,pga
2026-07-13T05:31:47+00:00,2026,2026-02-22,7,The Genesis Invitational,pga
2026-07-13T05:31:47+00:00,2026,2026-02-15,5,AT&T Pebble Beach Pro-Am,pga
2026-07-13T05:31:47+00:00,2026,2026-02-08,3,WM Phoenix Open,pga
2026-07-13T05:31:47+00:00,2026,2026-02-01,4,Farmers Insurance Open,pga
2026-07-13T05:31:47+00:00,2026,2026-01-25,2,The American Express,pga
2026-07-13T05:31:47+00:00,2026,2026-01-18,6,Sony Open in Hawaii,pga
2026-07-13T05:31:47+00:00,2025,2025-11-23,493,The RSM Classic,pga
