pulled_at,R1,R2,R3,R4,country,course,current_pos,current_score,dg_id,end_hole,make_cut,player_name,round,thru,today,top_10,top_20,top_5,win
2026-07-13T05:31:47+00:00,65,66,68.0,64.0,KOR,RC,1,-17,24766,18,1.0,"Kim, Tom",4,18,-6,1.0,1.0,1.0,1.0
2026-07-13T05:31:47+00:00,70,67,66.0,66.0,KOR,RC,T9,-11,14609,18,1.0,"Kim, Si Woo",4,18,-4,1.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,66,66,66.0,67.0,AUS,RC,2,-15,16841,18,1.0,"Lee, Min Woo",4,18,-3,1.0,1.0,1.0,0.0
2026-07-13T05:31:47+00:00,67,65,66.0,69.0,ENG,RC,T3,-13,17646,18,1.0,"Fitzpatrick, Matt",4,18,-1,1.0,1.0,1.0,0.0
2026-07-13T05:31:47+00:00,68,68,64.0,67.0,USA,RC,T3,-13,32457,18,1.0,"Keefer, Johnny",4,18,-3,1.0,1.0,1.0,0.0
2026-07-13T05:31:47+00:00,67,66,65.0,69.0,SCO,RC,T3,-13,23323,18,1.0,"MacIntyre, Robert",4,18,-1,1.0,1.0,1.0,0.0
2026-07-13T05:31:47+00:00,67,66,67.0,67.0,JPN,RC,T3,-13,21074,18,1.0,"Nakajima, Keita",4,18,-3,1.0,1.0,1.0,0.0
2026-07-13T05:31:47+00:00,70,64,68.0,73.0,AUS,RC,T30,-5,24304,18,1.0,"Vilips, Karl",4,18,3,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,65,66,73.0,64.0,NIR,RC,T7,-12,10091,18,1.0,"McIlroy, Rory",4,18,-6,1.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,72,68,,,USA,RC,CUT,0,18474,18,0.0,"Smalley, Alex",2,0,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,72,78,,,KOR,RC,CUT,10,21072,18,0.0,"Ok, Taehoon",2,0,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,65,66.0,71.0,USA,RC,T11,-10,27774,18,1.0,"Gotterup, Chris",4,18,1,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,67,68,65.0,70.0,USA,RC,T11,-10,18424,18,1.0,"Roy, Kevin",4,18,0,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,67,67,66.0,71.0,USA,RC,T13,-9,23604,18,1.0,"Clark, Wyndham",4,18,1,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,67,70,66.0,68.0,ENG,RC,T13,-9,12294,18,1.0,"Fleetwood, Tommy",4,18,-2,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,70,69.0,64.0,NOR,RC,T13,-9,18841,18,1.0,"Hovland, Viktor",4,18,-6,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,66,68,65.0,69.0,USA,RC,T7,-12,26649,18,1.0,"Thorbjornsen, Michael",4,18,-1,1.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,70,69.0,69.0,COL,RC,T36,-4,22833,18,1.0,"Echavarria, Nico",4,18,-1,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,69,64,70.0,66.0,FRA,RC,T9,-11,20730,18,1.0,"Perez, Victor",4,18,-4,1.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,67,68.0,68.0,USA,RC,T13,-9,14838,18,1.0,"Reed, Patrick",4,18,-2,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,71,69,,,RSA,RC,CUT,0,17550,18,0.0,"Van Rooyen, Erik",2,0,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,66,70.0,70.0,DEN,RC,T26,-6,23602,18,1.0,"Hojgaard, Nicolai",4,18,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,70,66,70.0,67.0,AUS,RC,T21,-7,17786,18,1.0,"Davis, Cam",4,18,-3,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,68,68.0,69.0,RSA,RC,T21,-7,26947,18,1.0,"Jarvis, Casey",4,18,-1,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,69,67.0,69.0,GER,RC,T21,-7,20722,18,1.0,"Schmid, Matti",4,18,-1,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,63,72.0,70.0,ENG,RC,T21,-7,18586,18,1.0,"Smith, Jordan",4,18,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,67,67,67.0,72.0,ENG,RC,T21,-7,12920,18,1.0,"Willett, Danny",4,18,2,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,67,67.0,72.0,ENG,RC,T26,-6,17813,18,1.0,"Armitage, Marcus",4,18,2,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,67,68.0,71.0,USA,RC,T26,-6,29767,18,1.0,"Gerard, Ryan",4,18,1,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,70,67,69.0,68.0,CAN,RC,T26,-6,13126,18,1.0,"Taylor, Nick",4,18,-2,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,72,66,65.0,69.0,ESP,RC,T17,-8,22259,18,1.0,"Del Rey, Alejandro",4,18,-1,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,70,66,69.0,70.0,USA,RC,T30,-5,26653,18,1.0,"Eckroat, Austin",4,18,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,71,65,69.0,70.0,NZL,RC,T30,-5,11889,18,1.0,"Fox, Ryan",4,18,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,67,71,67.0,70.0,NIR,RC,T30,-5,22322,18,1.0,"McKibbin, Tom",4,18,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,71,67,64.0,73.0,USA,RC,T30,-5,28159,18,1.0,"Meissner, Mac",4,18,3,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,68,68,69.0,70.0,ENG,RC,T30,-5,15326,18,1.0,"Sullivan, Andy",4,18,0,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,67,66,70.0,69.0,NED,RC,T17,-8,10158,18,1.0,"Luiten, Joost",4,18,-1,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,70,66,67.0,69.0,ENG,RC,T17,-8,14796,18,1.0,"Hatton, Tyrrell",4,18,-1,0.0,1.0,0.0,0.0
2026-07-13T05:31:47+00:00,69,69,69.0,69.0,USA,RC,T36,-4,23465,18,1.0,"Greyserman, Max",4,18,-1,0.0,0.0,0.0,0.0
2026-07-13T05:31:47+00:00,70,68,70.0,68.0,USA,RC,T36,-4,8825,18,1.0,"Harman, Brian",4,18,-2,0.0,0.0,0.0,0.0
