pulled_at,course_code,course_key,round_num,hole,par,yardage,afternoon_wave.avg_score,afternoon_wave.birdies,afternoon_wave.bogeys,afternoon_wave.doubles_or_worse,afternoon_wave.eagles_or_better,afternoon_wave.pars,afternoon_wave.players_thru,morning_wave.avg_score,morning_wave.birdies,morning_wave.bogeys,morning_wave.doubles_or_worse,morning_wave.eagles_or_better,morning_wave.pars,morning_wave.players_thru,total.avg_score,total.birdies,total.bogeys,total.doubles_or_worse,total.eagles_or_better,total.pars,total.players_thru
2026-07-13T05:31:47+00:00,RC,977,1,1,5,594,4.782,28,10,2,2,36,78,4.641,34,5,2,2,35,78,4.712,62,15,4,4,71,156
2026-07-13T05:31:47+00:00,RC,977,1,2,4,511,4.346,2,25,2,0,49,78,4.103,8,14,1,0,55,78,4.224,10,39,3,0,104,156
2026-07-13T05:31:47+00:00,RC,977,1,3,3,204,2.974,12,8,1,0,57,78,2.885,16,7,0,0,55,78,2.929,28,15,1,0,112,156
2026-07-13T05:31:47+00:00,RC,977,1,4,4,418,3.795,23,5,1,0,49,78,3.769,24,6,0,0,48,78,3.782,47,11,1,0,97,156
2026-07-13T05:31:47+00:00,RC,977,1,5,3,161,2.897,18,10,0,0,50,78,2.821,21,7,0,0,50,78,2.859,39,17,0,0,100,156
2026-07-13T05:31:47+00:00,RC,977,1,6,4,488,4.231,4,22,0,0,52,78,3.872,21,9,1,0,47,78,4.051,25,31,1,0,99,156
2026-07-13T05:31:47+00:00,RC,977,1,7,5,576,4.679,30,6,1,2,39,78,4.744,26,4,1,0,47,78,4.712,56,10,2,2,86,156
2026-07-13T05:31:47+00:00,RC,977,1,8,4,448,4.103,11,15,2,0,50,78,4.192,6,19,2,1,50,78,4.147,17,34,4,1,100,156
2026-07-13T05:31:47+00:00,RC,977,1,9,3,218,3.115,9,16,1,0,52,78,3.192,5,18,1,0,54,78,3.154,14,34,2,0,106,156
2026-07-13T05:31:47+00:00,RC,977,1,10,4,464,3.949,18,12,1,0,47,78,4.154,6,15,1,0,56,78,4.051,24,27,2,0,103,156
2026-07-13T05:31:47+00:00,RC,977,1,11,4,493,4.308,5,29,0,0,44,78,4.244,5,20,2,0,51,78,4.276,10,49,2,0,95,156
2026-07-13T05:31:47+00:00,RC,977,1,12,5,600,4.577,36,3,0,0,39,78,4.731,30,7,1,0,40,78,4.654,66,10,1,0,79,156
2026-07-13T05:31:47+00:00,RC,977,1,13,4,422,4.205,8,16,4,0,50,78,3.987,14,13,0,0,51,78,4.096,22,29,4,0,101,156
2026-07-13T05:31:47+00:00,RC,977,1,14,4,347,3.756,24,5,0,0,49,78,3.667,29,3,0,0,46,78,3.712,53,8,0,0,95,156
2026-07-13T05:31:47+00:00,RC,977,1,15,3,147,3.051,7,11,0,0,60,78,2.962,10,7,0,0,61,78,3.006,17,18,0,0,121,156
2026-07-13T05:31:47+00:00,RC,977,1,16,4,505,4.179,9,19,2,0,48,78,4.0,12,12,0,0,54,78,4.09,21,31,2,0,102,156
2026-07-13T05:31:47+00:00,RC,977,1,17,3,203,3.115,6,15,0,0,57,78,3.09,6,13,0,0,59,78,3.103,12,28,0,0,116,156
2026-07-13T05:31:47+00:00,RC,977,1,18,4,483,4.308,8,26,3,0,41,78,4.269,5,22,2,0,49,78,4.288,13,48,5,0,90,156
2026-07-13T05:31:47+00:00,RC,977,2,1,5,594,4.744,26,4,1,0,47,78,4.705,26,3,0,0,49,78,4.724,52,7,1,0,96,156
2026-07-13T05:31:47+00:00,RC,977,2,2,4,511,4.128,12,22,0,0,44,78,4.128,7,17,0,0,54,78,4.128,19,39,0,0,98,156
2026-07-13T05:31:47+00:00,RC,977,2,3,3,204,3.154,6,16,1,0,55,78,3.064,8,13,0,0,57,78,3.109,14,29,1,0,112,156
2026-07-13T05:31:47+00:00,RC,977,2,4,4,418,3.987,13,4,4,0,57,78,3.821,18,4,0,0,56,78,3.904,31,8,4,0,113,156
2026-07-13T05:31:47+00:00,RC,977,2,5,3,161,2.885,14,5,0,0,59,78,2.795,17,1,0,0,60,78,2.84,31,6,0,0,119,156
2026-07-13T05:31:47+00:00,RC,977,2,6,4,488,4.205,5,15,3,0,55,78,4.0,13,13,0,0,52,78,4.103,18,28,3,0,107,156
2026-07-13T05:31:47+00:00,RC,977,2,7,5,576,4.59,29,5,0,4,40,78,4.641,28,6,0,3,41,78,4.615,57,11,0,7,81,156
2026-07-13T05:31:47+00:00,RC,977,2,8,4,448,4.295,9,18,6,0,45,78,4.256,8,19,4,0,47,78,4.276,17,37,10,0,92,156
2026-07-13T05:31:47+00:00,RC,977,2,9,3,218,3.244,7,24,1,0,46,78,3.013,15,16,0,0,47,78,3.128,22,40,1,0,93,156
