pulled_at,bet365,betcris,betmgm,betonline,betway,bovada,caesars,dg_id,draftkings,fanduel,pinnacle,player_name,pointsbet,skybet,unibet,williamhill,datagolf.baseline,datagolf.baseline_history_fit,event_name,last_updated,market,notes
2026-07-13T05:31:47+00:00,3.6,3.76,3.75,3.75,3.6,3.5,3.6,17646,3.6,3.6,3.84,"Fitzpatrick, Matt",3.8,3.5,3.75,3.6,,4.403413622911125,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,5.75,6.01,5.0,6.0,6.0,5.0,5.8,27774,5.4,5.8,5.71,"Gotterup, Chris",6.0,5.5,6.0,6.0,,6.089642315473583,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,8.0,8.99,8.0,8.5,8.0,8.5,8.0,16841,7.9,8.5,7.81,"Lee, Min Woo",9.0,8.5,8.0,8.0,,8.035839079417606,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,8.0,9.01,8.0,8.5,8.5,8.0,8.5,26649,7.6,8.5,9.01,"Thorbjornsen, Michael",9.0,8.5,8.5,8.5,,10.313899347492942,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,12.0,13.52,12.0,13.0,12.0,13.0,12.0,23323,11.5,13.0,13.06,"MacIntyre, Robert",13.0,13.0,12.0,11.0,,13.599373679276056,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,13.0,15.49,13.0,15.0,13.0,15.0,13.0,18586,15.0,14.0,13.44,"Smith, Jordan",15.0,13.0,13.0,13.0,,16.533097911837405,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,11.0,11.16,11.0,12.0,,10.0,12.0,23604,13.25,13.0,12.82,"Clark, Wyndham",13.0,11.0,11.0,11.0,,17.75335385906513,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,17.0,19.37,17.0,19.0,17.0,19.0,17.0,24766,17.5,17.0,18.35,"Kim, Tom",15.0,17.0,17.0,17.0,,17.75529205704071,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,26.0,26.53,26.0,29.0,26.0,29.0,26.0,10091,33.0,26.0,31.02,"McIlroy, Rory",23.0,23.0,26.0,23.0,,39.58662856372855,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,23.0,36.1,23.0,29.0,23.0,26.0,29.0,32457,28.0,28.0,33.98,"Keefer, Johnny",26.0,23.0,23.0,23.0,,41.231403433443816,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,34.0,45.83,41.0,41.0,34.0,31.0,36.0,18424,37.0,41.0,47.65,"Roy, Kevin",36.0,31.0,34.0,34.0,,61.79647507329822,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,61.0,61.58,67.0,71.0,,66.0,71.0,21074,66.0,66.0,78.85,"Nakajima, Keita",51.0,51.0,61.0,61.0,,93.35020357601451,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,46.0,61.58,51.0,56.0,41.0,56.0,51.0,23841,63.0,56.0,68.81,"Neergaard-Petersen, Rasmus",51.0,41.0,41.0,46.0,,97.37579535726285,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,91.0,71.6,91.0,91.0,81.0,81.0,91.0,24304,106.0,101.0,99.68,"Vilips, Karl",91.0,71.0,91.0,81.0,,110.68719620882439,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,81.0,71.6,91.0,91.0,81.0,81.0,81.0,29925,87.0,81.0,102.64,"Yellamaraju, Sudarshan",81.0,61.0,81.0,81.0,,149.32409661903765,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,91.0,151.72,101.0,126.0,81.0,126.0,101.0,28159,146.0,126.0,139.8,"Meissner, Mac",151.0,81.0,91.0,91.0,,203.17774964575355,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,126.0,181.77,201.0,,151.0,201.0,151.0,20730,201.0,126.0,157.44,"Perez, Victor",151.0,101.0,151.0,151.0,,209.91931439588024,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,91.0,121.66,101.0,111.0,,101.0,91.0,12294,151.0,101.0,136.6,"Fleetwood, Tommy",126.0,81.0,91.0,91.0,,214.50690508002293,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
2026-07-13T05:31:47+00:00,101.0,151.72,111.0,126.0,101.0,126.0,101.0,14796,171.0,126.0,158.67,"Hatton, Tyrrell",151.0,81.0,101.0,91.0,,305.39199976477846,Genesis Scottish Open,2026-07-12 03:17:06 UTC,win,"Tournament is live, baseline model not available."
