amateur,country,country_code,dg_id,player_name,updated_at
0,United States,USA,32153,"Abbate, Ryan",2026-08-19T10:16:28+00:00
0,England,ENG,14794,"Abbott, Jamie",2026-08-19T10:16:28+00:00
0,United States,USA,22451,"Abella, Joseph",2026-08-19T10:16:28+00:00
0,United States,USA,24952,"Abercrombie, Blake",2026-08-19T10:16:28+00:00
0,Sweden,SWE,23950,"Aberg, Ludvig",2026-08-19T10:16:28+00:00
1,Egypt,EGY,8863,"Abou El Ela, Issa",2026-08-19T10:16:28+00:00
0,Portugal,POR,24555,"Abreu, Alexandre",2026-08-19T10:16:28+00:00
0,Turkey,TUR,21644,"Acikalin, Leon",2026-08-19T10:16:28+00:00
0,United States,USA,27455,"Ackerman, Derek",2026-08-19T10:16:28+00:00
0,Scotland,SCO,34024,"Adam, Cameron",2026-08-19T10:16:28+00:00
0,United States,USA,7612,"Adamonis, Brad",2026-08-19T10:16:28+00:00
0,United States,USA,34884,"Adams, Collin",2026-08-19T10:16:28+00:00
0,United States,USA,34444,"Adams, Matthew",2026-08-19T10:16:28+00:00
0,United States,USA,35576,"Adler, Patrick",2026-08-19T10:16:28+00:00
0,United States,USA,30736,"Adrounie, Tom",2026-08-19T10:16:28+00:00
0,South Africa,RSA,24573,"Africa, Keelan",2026-08-19T10:16:28+00:00
0,Denmark,DEN,24655,"Agerschou, Jacob Worm",2026-08-19T10:16:28+00:00
0,Sweden,SWE,20400,"Agren, Jonathan",2026-08-19T10:16:28+00:00
0,Colombia,COL,25686,"Aguado, Camilo",2026-08-19T10:16:28+00:00
0,Chile,CHI,8135,"Aguilar, Felipe",2026-08-19T10:16:28+00:00
0,Spain,ESP,19557,"Aguilar, Mario Galiano",2026-08-19T10:16:28+00:00
0,India,IND,22897,"Ahlawat, Veer",2026-08-19T10:16:28+00:00
0,South Africa,RSA,11852,"Ahlers, Jaco",2026-08-19T10:16:28+00:00
0,Finland,FIN,11897,"Ahokas, Antti",2026-08-19T10:16:28+00:00
0,South Africa,RSA,7679,"Aiken, Thomas",2026-08-19T10:16:28+00:00
1,United States,USA,30618,"Akana, Blaze",2026-08-19T10:16:28+00:00
0,Sweden,SWE,11530,"Akesson, Bjorn",2026-08-19T10:16:28+00:00
1,United States,USA,32652,"Akina, Kihei",2026-08-19T10:16:28+00:00
0,Uganda,UGA,8749,"Akope, Deo",2026-08-19T10:16:28+00:00
0,Japan,JPN,15726,"Akutsu, Mikiya",2026-08-19T10:16:28+00:00
1,Qatar,QAT,17056,"Al Kaabi, Saleh",2026-08-19T10:16:28+00:00
0,Saudi Arabia,KSA,23074,"Al Kurdi, Shergo",2026-08-19T10:16:28+00:00
0,Saudi Arabia,KSA,11985,"Al Mulla, Othman",2026-08-19T10:16:28+00:00
0,United Arab Emirates,UAE,14407,"Al Musharrekh, Ahmed",2026-08-19T10:16:28+00:00
0,United Arab Emirates,UAE,22704,"Al Musharrekh, Hassin",2026-08-19T10:16:28+00:00
1,Oman,OMA,18024,"Al Rumhy, Azzan",2026-08-19T10:16:28+00:00
0,Saudi Arabia,KSA,22606,"Al Sharif, Saud",2026-08-19T10:16:28+00:00
0,Bahrain,BRN,30586,"Al Zayed, Ahmed",2026-08-19T10:16:28+00:00
