dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total,updated_at
18417,0.047,7.517,"Scheffler, Scottie",1.19,0.354,0.773,0.56,2.878,2026-09-24T14:29:37+00:00
19895,0.021,13.649,"Schauffele, Xander",0.741,0.08,0.864,0.18,1.865,2026-09-24T14:29:37+00:00
10091,-0.031,20.028,"McIlroy, Rory",0.769,0.106,0.862,0.102,1.84,2026-09-24T14:29:37+00:00
27774,-0.027,15.602,"Gotterup, Chris",0.554,0.111,0.732,0.311,1.709,2026-09-24T14:29:37+00:00
26651,0.003,13.25,"Young, Cameron",0.684,0.189,0.753,0.066,1.692,2026-09-24T14:29:37+00:00
23950,-0.01,11.47,"Aberg, Ludvig",0.785,0.135,0.463,0.3,1.684,2026-09-24T14:29:37+00:00
19483,-0.008,8.246,"Burns, Sam",0.641,0.054,0.308,0.588,1.592,2026-09-24T14:29:37+00:00
15466,0.013,3.968,"Cantlay, Patrick",0.96,0.174,0.381,0.027,1.542,2026-09-24T14:29:37+00:00
17646,0.038,-1.153,"Fitzpatrick, Matt",0.597,0.387,0.105,0.451,1.54,2026-09-24T14:29:37+00:00
14609,0.08,-3.285,"Kim, Si Woo",0.802,0.27,0.383,0.068,1.523,2026-09-24T14:29:37+00:00
22085,0.086,-1.176,"Morikawa, Collin",0.701,0.015,0.515,0.285,1.516,2026-09-24T14:29:37+00:00
23604,-0.03,7.587,"Clark, Wyndham",0.478,0.313,0.209,0.477,1.477,2026-09-24T14:29:37+00:00
12294,0.074,-2.401,"Fleetwood, Tommy",0.49,0.311,0.329,0.291,1.421,2026-09-24T14:29:37+00:00
18079,-0.004,12.08,"Niemann, Joaquin",0.84,0.011,0.521,0.036,1.408,2026-09-24T14:29:37+00:00
14139,0.008,3.428,"Thomas, Justin",0.368,0.511,0.285,0.214,1.377,2026-09-24T14:29:37+00:00
29767,0.039,4.491,"Gerard, Ryan",0.555,0.016,0.561,0.234,1.366,2026-09-24T14:29:37+00:00
14578,0.123,-10.246,"Henley, Russell",0.42,0.118,0.39,0.417,1.345,2026-09-24T14:29:37+00:00
32319,0.06,1.307,"Koivun, Jackson",0.492,0.075,0.519,0.234,1.32,2026-09-24T14:29:37+00:00
18841,0.043,0.589,"Hovland, Viktor",0.561,0.136,0.235,0.387,1.318,2026-09-24T14:29:37+00:00
24766,0.054,-2.624,"Kim, Tom",0.73,0.149,0.219,0.19,1.288,2026-09-24T14:29:37+00:00
13562,0.033,-1.602,"Matsuyama, Hideki",0.603,0.35,0.212,0.084,1.249,2026-09-24T14:29:37+00:00
29433,0.032,0.454,"Bridgeman, Jacob",0.387,0.071,0.221,0.561,1.24,2026-09-24T14:29:37+00:00
18634,-0.026,5.439,"McNealy, Maverick",0.146,0.302,0.117,0.672,1.237,2026-09-24T14:29:37+00:00
19841,-0.045,18.299,"DeChambeau, Bryson",0.422,0.065,0.535,0.203,1.225,2026-09-24T14:29:37+00:00
17536,0.052,-0.141,"Spaun, J.J.",0.66,0.161,0.398,0.005,1.224,2026-09-24T14:29:37+00:00
16841,-0.02,14.749,"Lee, Min Woo",0.286,0.245,0.407,0.266,1.204,2026-09-24T14:29:37+00:00
6430,0.011,5.465,"Scott, Adam",0.73,0.015,0.479,-0.021,1.203,2026-09-24T14:29:37+00:00
24968,0.007,1.531,"Griffin, Ben",0.536,0.28,0.187,0.189,1.192,2026-09-24T14:29:37+00:00
13900,0.028,0.303,"Lowry, Shane",0.703,0.019,0.305,0.142,1.17,2026-09-24T14:29:37+00:00
