player,country,dg_rank,owgr_rank,tour_rank,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc,win,top_5,top_10,top_20
Scottie Scheffler,USA,1,1,1,2.944,0.811,1.154,0.334,0.646,7.177,0.055,0.1746,0.4656,0.6447,0.8314
Ludvig Aberg,SWE,8,17,10,1.884,0.757,0.797,0.122,0.208,12.697,0.014,0.0539,0.214,0.3664,0.6013
Xander Schauffele,USA,7,10,11,1.858,0.778,0.694,0.144,0.243,13.543,0.012,0.0476,0.2041,0.3561,0.5943
Tommy Fleetwood,ENG,2,5,8,1.828,0.491,0.605,0.386,0.346,-1.902,0.088,0.0392,0.1861,0.3429,0.5887
Matt Fitzpatrick,ENG,4,4,2,1.785,0.279,0.802,0.384,0.32,-0.12,0.053,0.0359,0.1756,0.3304,0.5802
Rory McIlroy,NIR,5,2,13,1.759,0.9,0.5,0.121,0.238,20.536,-0.027,0.046,0.1974,0.3466,0.5793
Cameron Young,USA,11,3,3,1.713,0.699,0.755,0.203,0.057,13.068,-0.0,0.0412,0.1809,0.3259,0.5599
Si Woo Kim,KOR,6,13,4,1.703,0.535,0.826,0.236,0.106,-3.965,0.095,0.0324,0.1626,0.3084,0.5553
Sam Burns,USA,3,7,6,1.686,0.289,0.688,0.069,0.64,8.494,-0.009,0.0355,0.169,0.3106,0.5486
Chris Gotterup,USA,15,9,7,1.535,0.705,0.549,0.013,0.267,15.653,-0.032,0.0299,0.1466,0.2795,0.5125
Viktor Hovland,NOR,16,14,22,1.493,0.331,0.817,0.166,0.18,1.629,0.046,0.0268,0.1358,0.2651,0.4977
Patrick Cantlay,USA,10,38,43,1.462,0.341,0.78,0.183,0.158,2.697,0.021,0.0228,0.1274,0.2566,0.4931
Hideki Matsuyama,JPN,12,25,16,1.447,0.258,0.656,0.342,0.19,-1.097,0.035,0.0257,0.1352,0.2657,0.5085
Collin Morikawa,USA,13,11,9,1.387,0.429,0.792,0.021,0.144,-1.594,0.087,0.0235,0.1222,0.2438,0.4718
Justin Thomas,USA,26,23,44,1.343,0.235,0.347,0.505,0.256,2.365,0.009,0.0219,0.1202,0.2408,0.465
Wyndham Clark,USA,14,8,5,1.277,0.063,0.376,0.338,0.5,6.806,-0.044,0.0206,0.1098,0.2222,0.4421
Ryan Gerard,USA,19,26,17,1.25,0.419,0.423,0.08,0.329,2.347,0.037,0.015,0.0967,0.2077,0.4312
Tom Kim,KOR,28,28,26,1.227,0.119,0.711,0.191,0.207,-2.511,0.042,0.0154,0.0952,0.2041,0.4261
Min Woo Lee,AUS,40,27,18,1.222,0.465,0.341,0.241,0.174,14.742,-0.02,0.0176,0.1009,0.2092,0.424
Maverick McNealy,USA,21,46,49,1.212,0.189,0.145,0.265,0.613,5.179,-0.021,0.0166,0.099,0.2064,0.422
Ben Griffin,USA,30,21,38,1.211,0.121,0.469,0.292,0.33,1.488,0.001,0.0153,0.0908,0.1982,0.4239
Russell Henley,USA,9,6,14,1.169,0.309,0.327,0.107,0.426,-10.121,0.119,0.0134,0.0885,0.1944,0.4126
Michael Thorbjornsen,USA,41,41,41,1.161,0.521,0.373,0.185,0.081,8.294,0.024,0.0161,0.0941,0.2,0.4123
Kurt Kitayama,USA,23,37,28,1.149,0.457,0.604,0.037,0.051,9.109,0.001,0.0163,0.0943,0.199,0.4082
J.J. Spaun,USA,20,16,21,1.105,0.434,0.637,0.167,-0.133,0.346,0.052,0.0115,0.0805,0.179,0.3901
Robert MacIntyre,SCO,31,19,36,1.004,0.224,0.212,0.156,0.413,1.52,0.01,0.0098,0.0695,0.1571,0.3567
Jake Knapp,USA,33,48,35,1.0,0.453,0.425,-0.067,0.189,12.437,-0.025,0.0156,0.088,0.1861,0.3891
Alex Noren,SWE,22,18,34,0.914,0.087,0.26,0.152,0.416,-7.967,0.057,0.0081,0.06,0.1438,0.3426
Alex Smalley,USA,37,45,23,0.908,0.191,0.478,0.004,0.235,1.829,0.03,0.0097,0.0678,0.1515,0.3429
Sungjae Im,KOR,57,62,40,0.905,0.205,-0.038,0.338,0.4,-0.792,0.021,0.0098,0.0658,0.1515,0.3449
Bud Cauley,USA,45,42,29,0.901,0.308,0.36,0.243,-0.01,1.507,0.024,0.0101,0.064,0.1474,0.3375
Nicolai Hojgaard,DEN,46,40,33,0.896,0.357,0.381,0.077,0.081,17.502,-0.057,0.0097,0.0658,0.1517,0.3421
Alex Fitzpatrick,ENG,58,70,20,0.867,0.456,0.562,0.044,-0.195,1.347,0.047,0.0087,0.0622,0.1439,0.3323
Adam Scott,AUS,34,51,27,0.864,0.353,0.5,-0.016,0.027,6.295,-0.009,0.0084,0.0624,0.1435,0.3327
Michael Brennan,USA,42,34,47,0.855,0.638,0.304,-0.215,0.129,17.101,-0.026,0.0113,0.069,0.1538,0.3426
Rickie Fowler,USA,32,44,30,0.854,0.287,0.335,-0.024,0.257,-0.591,0.039,0.0087,0.0626,0.1432,0.3283
Jacob Bridgeman,USA,35,31,12,0.848,0.107,0.237,0.045,0.458,-0.59,0.018,0.0079,0.0579,0.1395,0.3256
Justin Rose,ENG,29,12,24,0.821,0.186,0.538,0.007,0.089,2.639,0.011,0.0104,0.0655,0.1483,0.3341
Kristoffer Reitan,NOR,48,29,19,0.784,0.488,0.181,-0.133,0.247,7.927,-0.0,0.0088,0.0607,0.1379,0.3199
Ryan Fox,NZL,47,24,25,0.62,0.221,0.233,-0.005,0.172,7.484,-0.043,0.0057,0.0442,0.1086,0.2768
Aaron Rai,ENG,53,20,37,0.607,0.116,0.426,0.138,-0.073,-11.716,0.107,0.0047,0.0389,0.1016,0.2664
Eric Cole,USA,71,75,48,0.578,-0.271,0.145,0.34,0.363,-2.791,-0.037,0.0053,0.041,0.1035,0.2629
Ryo Hisatsune,JPN,93,69,45,0.563,0.34,0.399,-0.013,-0.163,3.064,0.026,0.0051,0.0392,0.1013,0.2611
J.T. Poston,USA,60,35,32,0.541,0.128,0.227,-0.002,0.188,-4.948,0.041,0.004,0.0353,0.0924,0.252
Akshay Bhatia,USA,62,33,15,0.534,-0.31,0.323,0.137,0.384,-0.319,-0.027,0.0053,0.0411,0.0994,0.255
Gary Woodland,USA,68,47,31,0.499,0.531,0.181,-0.239,0.026,10.577,0.003,0.0052,0.0392,0.0975,0.2512
