Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Ludvig Aberg,0.7286,1.4114,0.6914,-0.0086,0.1743,-0.13,1.18,0.01,BMW Championship,PGA Tour
Akshay Bhatia,-0.4357,0.3371,0.1071,0.1343,0.2729,-0.04,0.23,0.05,BMW Championship,PGA Tour
Michael Brennan,0.738,0.436,0.197,0.067,-0.344,-0.15,0.6771,-0.05,BMW Championship,PGA Tour
Jacob Bridgeman,0.2025,0.4325,0.1837,0.3375,-0.0938,-0.02,1.02,0.0,BMW Championship,PGA Tour
Sam Burns,0.385,3.84,1.1383,0.8783,0.2917,-0.12,2.2267,0.15,BMW Championship,PGA Tour
Patrick Cantlay,0.2729,0.9071,0.7533,0.26,0.0914,-0.05,1.1175,0.13,BMW Championship,PGA Tour
Bud Cauley,0.38,0.6813,0.1825,0.0887,0.4062,-0.03,0.994,0.01,BMW Championship,PGA Tour
Wyndham Clark,0.0688,2.9775,0.3187,0.8187,0.4125,-0.11,1.558,0.04,BMW Championship,PGA Tour
Eric Cole,-0.308,0.479,0.02,0.632,0.358,-0.02,-0.0683,0.03,BMW Championship,PGA Tour
Nico Echavarria,0.0089,0.4244,0.1656,0.2456,0.0644,0.02,0.602,-0.01,BMW Championship,PGA Tour
Alex Fitzpatrick,0.5025,0.8875,0.8538,-0.315,-0.0112,-0.01,0.28,-0.05,BMW Championship,PGA Tour
Matt Fitzpatrick,0.06,2.0457,0.8629,0.24,0.57,-0.04,2.2075,0.11,BMW Championship,PGA Tour
Tommy Fleetwood,0.58,2.2043,0.5114,0.4143,0.59,-0.01,2.0425,0.15,BMW Championship,PGA Tour
Rickie Fowler,0.2838,0.5225,0.1588,0.13,-0.0875,-0.01,0.9925,0.08,BMW Championship,PGA Tour
Ryan Fox,0.4057,0.6586,0.3186,0.2814,-0.1457,-0.08,0.8325,-0.02,BMW Championship,PGA Tour
Ryan Gerard,0.3233,0.8089,0.1589,0.4111,0.1111,-0.04,0.916,-0.02,BMW Championship,PGA Tour
Chris Gotterup,0.7488,1.1075,0.5475,0.4113,-0.1913,-0.17,1.202,-0.04,BMW Championship,PGA Tour
Ben Griffin,0.0956,0.6933,0.4067,0.2433,0.4522,-0.05,0.712,0.05,BMW Championship,PGA Tour
Russell Henley,0.5017,1.0317,0.3,0.6983,-0.2133,0.08,1.3167,0.08,BMW Championship,PGA Tour
Ryo Hisatsune,0.402,0.208,0.278,-0.363,-0.019,-0.02,0.298,-0.05,BMW Championship,PGA Tour
Nicolai Hojgaard,0.1338,0.2975,0.2313,-0.0862,0.1425,-0.18,-0.184,-0.05,BMW Championship,PGA Tour
Viktor Hovland,0.025,1.11,0.9233,-0.0833,0.308,-0.03,1.4125,0.1,BMW Championship,PGA Tour
Sungjae Im,0.3375,0.765,-0.41,0.3825,0.3133,-0.02,0.7729,0.1,BMW Championship,PGA Tour
Si Woo Kim,0.4213,1.7263,0.7825,0.0612,0.2275,0.02,1.4075,0.02,BMW Championship,PGA Tour
Tom Kim,0.0267,1.8578,1.1,0.1633,0.1733,0.0,1.7083,0.03,BMW Championship,PGA Tour
Kurt Kitayama,0.4214,0.6543,0.6486,0.1657,0.1286,-0.09,0.9675,0.03,BMW Championship,PGA Tour
Jake Knapp,0.27,0.18,0.362,-0.104,-0.302,-0.13,0.028,-0.04,BMW Championship,PGA Tour
Min Woo Lee,0.4617,0.425,0.2533,-0.41,0.1883,-0.15,-0.41,-0.04,BMW Championship,PGA Tour
Robert MacIntyre,0.3925,0.5613,-0.085,0.1663,-0.0088,-0.05,1.59,0.08,BMW Championship,PGA Tour
Hideki Matsuyama,0.2,1.3144,0.4622,0.1067,0.3711,-0.02,1.962,0.16,BMW Championship,PGA Tour
Matt McCarty,-0.44,0.0944,-0.2389,0.6822,-0.3411,0.03,-0.12,-0.05,BMW Championship,PGA Tour
Rory McIlroy,1.17,1.116,0.108,0.44,-0.008,-0.22,1.135,0.08,BMW Championship,PGA Tour
Maverick McNealy,0.2071,0.6014,-0.0757,0.6014,0.2971,-0.09,0.6775,0.06,BMW Championship,PGA Tour
Collin Morikawa,0.2425,0.8775,0.6275,0.765,-0.2725,0.01,1.56,0.11,BMW Championship,PGA Tour
Alex Noren,0.2013,0.82,-0.1787,0.6663,0.0775,0.05,0.13,0.02,BMW Championship,PGA Tour
J.T. Poston,0.2225,0.9712,0.1025,0.3337,0.0013,0.04,-0.0425,0.14,BMW Championship,PGA Tour
Aaron Rai,0.2863,0.6887,0.5513,-0.0163,0.1338,0.1,0.162,0.13,BMW Championship,PGA Tour
Kristoffer Reitan,0.7071,0.7729,0.2114,0.1914,-0.3086,-0.09,-0.2275,-0.05,BMW Championship,PGA Tour
Justin Rose,0.1917,0.765,0.5767,0.265,-0.09,-0.03,0.22,0.12,BMW Championship,PGA Tour
Xander Schauffele,0.7143,1.4943,0.1157,0.0857,0.1786,-0.14,1.3225,0.11,BMW Championship,PGA Tour
Scottie Scheffler,0.7429,4.8314,1.22,0.64,0.2243,-0.11,3.115,0.11,BMW Championship,PGA Tour
Adam Scott,0.4,0.4983,0.13,0.2017,-0.2983,-0.07,-0.17,0.14,BMW Championship,PGA Tour
Alex Smalley,0.2013,0.8163,0.39,0.39,-0.1,-0.04,0.305,-0.04,BMW Championship,PGA Tour
J.J. Spaun,0.3362,0.8712,0.715,-0.2512,0.3588,0.0,0.4175,0.09,BMW Championship,PGA Tour
Sepp Straka,-0.1286,0.0314,-0.0686,-0.6571,-0.3,0.03,-0.9175,0.07,BMW Championship,PGA Tour
Sahith Theegala,-0.1356,0.0833,0.1144,-0.0389,0.1122,-0.06,0.13,0.06,BMW Championship,PGA Tour
Justin Thomas,0.2562,0.8838,0.15,0.2687,0.7262,-0.07,0.9975,0.12,BMW Championship,PGA Tour
Michael Thorbjornsen,0.4814,0.6371,-0.0486,-0.2029,0.2686,-0.1,0.72,-0.05,BMW Championship,PGA Tour
Gary Woodland,0.6171,0.6257,0.0314,0.01,-0.2843,-0.08,-0.3233,0.06,BMW Championship,PGA Tour
Cameron Young,0.6571,0.7271,0.6886,-0.3914,0.1929,-0.14,0.855,0.05,BMW Championship,PGA Tour
