Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Zach Bauchou,-0.042,1.059,0.139,0.184,0.023,0,0.3,-0.04,Biltmore Championship Asheville,PGA Tour
Christiaan Bezuidenhout,-0.352,1.059,0.246,0.321,0.19,0,0.41,-0.04,Biltmore Championship Asheville,PGA Tour
Zac Blair,-0.44,1.059,0.309,0.11,0.089,0,0.07,-0.04,Biltmore Championship Asheville,PGA Tour
Chandler Blanchet,0.25,1.059,-0.082,-0.238,-0.321,0,-0.39,-0.04,Biltmore Championship Asheville,PGA Tour
Jacob Bridgeman,0.1087,0.7937,0.2425,0.5613,0.0575,0.02,0.884,-0.04,Biltmore Championship Asheville,PGA Tour
Blades Brown,0.275,1.059,0.163,-0.0,-0.089,0,0.35,-0.04,Biltmore Championship Asheville,PGA Tour
Rafael Campos,-0.281,1.059,-0.268,-0.314,-0.271,0,-1.13,-0.04,Biltmore Championship Asheville,PGA Tour
Ricky Castillo,0.101,1.059,0.02,0.144,0.105,0,0.37,-0.04,Biltmore Championship Asheville,PGA Tour
Cameron Champ,0.182,1.059,-0.805,-0.207,-0.34,0,-1.17,-0.04,Biltmore Championship Asheville,PGA Tour
Davis Chatfield,-0.43,1.059,0.086,0.062,-0.004,0,-0.29,-0.04,Biltmore Championship Asheville,PGA Tour
Luke Clanton,-0.149,1.059,0.146,-0.141,-0.125,0,-0.27,-0.04,Biltmore Championship Asheville,PGA Tour
Eric Cole,-0.167,1.059,0.134,0.405,0.278,0,0.65,-0.04,Biltmore Championship Asheville,PGA Tour
Corey Conners,0.342,1.059,0.494,-0.022,-0.003,0,0.81,-0.04,Biltmore Championship Asheville,PGA Tour
Pierceson Coody,0.176,1.059,-0.043,0.188,-0.036,0,0.28,-0.04,Biltmore Championship Asheville,PGA Tour
Trace Crowe,0.04,1.059,-0.105,-0.083,-0.14,0,-0.29,-0.04,Biltmore Championship Asheville,PGA Tour
Joel Dahmen,0.064,1.059,0.231,-0.353,-0.153,0,-0.21,-0.04,Biltmore Championship Asheville,PGA Tour
Cam Davis,-0.641,1.059,-0.44,-0.101,-0.093,0,-1.27,-0.04,Biltmore Championship Asheville,PGA Tour
Zecheng Dou,0.087,1.059,0.006,0.028,0.049,0,0.17,-0.04,Biltmore Championship Asheville,PGA Tour
Adrien Dumont De Chassart,-0.447,1.059,-0.088,0.25,0.165,0,-0.12,-0.04,Biltmore Championship Asheville,PGA Tour
Nick Dunlap,-0.989,1.059,-0.193,0.054,0.116,0,-1.01,-0.04,Biltmore Championship Asheville,PGA Tour
Nico Echavarria,-0.202,1.059,0.003,0.311,0.03,0,0.14,-0.04,Biltmore Championship Asheville,PGA Tour
Austin Eckroat,-0.089,1.059,0.083,0.21,-0.142,0,0.06,-0.04,Biltmore Championship Asheville,PGA Tour
A.J. Ewart,-0.458,1.059,-0.083,0.24,0.045,0,-0.26,-0.04,Biltmore Championship Asheville,PGA Tour
Tony Finau,-0.003,1.059,0.087,-0.182,0.241,0,0.14,-0.04,Biltmore Championship Asheville,PGA Tour
Patrick Fishburn,0.167,1.059,-0.084,-0.004,-0.06,0,0.02,-0.04,Biltmore Championship Asheville,PGA Tour
Steven Fisk,0.187,1.059,-0.187,-0.026,0.031,0,0.01,-0.04,Biltmore Championship Asheville,PGA Tour
David Ford,0.386,1.059,-0.144,-0.138,-0.17,0,-0.07,-0.04,Biltmore Championship Asheville,PGA Tour
Brice Garnett,-0.219,1.059,-0.293,-0.088,-0.101,0,-0.7,-0.04,Biltmore Championship Asheville,PGA Tour
Doug Ghim,0.465,1.059,0.419,-0.084,0.137,0,0.94,-0.04,Biltmore Championship Asheville,PGA Tour
Lucas Glover,-0.059,1.059,0.221,-0.556,-0.089,0,-0.48,-0.04,Biltmore Championship Asheville,PGA Tour
Will Gordon,-0.101,1.059,-0.304,-0.268,-0.228,0,-0.9,-0.04,Biltmore Championship Asheville,PGA Tour
Max Greyserman,0.038,1.059,-0.17,0.29,0.069,0,0.23,-0.04,Biltmore Championship Asheville,PGA Tour
Lanto Griffin,-0.181,1.059,-0.015,-0.147,-0.028,0,-0.37,-0.04,Biltmore Championship Asheville,PGA Tour
Emiliano Grillo,0.18,1.059,0.175,0.036,-0.072,0,0.32,-0.04,Biltmore Championship Asheville,PGA Tour
Adam Hadwin,-0.22,1.059,-0.322,-0.11,-0.107,0,-0.76,-0.04,Biltmore Championship Asheville,PGA Tour
Nick Hardy,-0.089,1.059,-0.346,-0.232,-0.164,0,-0.83,-0.04,Biltmore Championship Asheville,PGA Tour
Harry Higgs,-0.165,1.059,-0.364,-0.199,-0.191,0,-0.92,-0.04,Biltmore Championship Asheville,PGA Tour
Kensei Hirata,-0.279,1.059,-0.686,-0.157,-0.075,0,-1.2,-0.04,Biltmore Championship Asheville,PGA Tour
Ryo Hisatsune,0.343,1.059,0.4,-0.072,-0.016,0,0.65,-0.04,Biltmore Championship Asheville,PGA Tour
Lee Hodges,0.181,1.059,0.064,0.034,-0.109,0,0.17,-0.04,Biltmore Championship Asheville,PGA Tour
Rico Hoey,0.336,1.059,0.126,-0.17,-0.028,0,0.27,-0.04,Biltmore Championship Asheville,PGA Tour
Tom Hoge,-0.334,1.059,0.291,-0.133,-0.082,0,-0.26,-0.04,Biltmore Championship Asheville,PGA Tour
Rasmus Hojgaard,0.166,1.059,0.041,0.436,-0.061,0,0.58,-0.04,Biltmore Championship Asheville,PGA Tour
Billy Horschel,0.016,1.059,0.263,0.007,-0.119,0,0.17,-0.04,Biltmore Championship Asheville,PGA Tour
Beau Hossler,0.048,1.059,-0.123,0.384,0.215,0,0.52,-0.04,Biltmore Championship Asheville,PGA Tour
Mark Hubbard,-0.09,1.059,0.109,-0.369,-0.003,0,-0.35,-0.04,Biltmore Championship Asheville,PGA Tour
Mackenzie Hughes,-0.224,1.059,-0.26,0.419,0.314,0,0.25,-0.04,Biltmore Championship Asheville,PGA Tour
Stephan Jaeger,-0.41,1.059,0.018,0.265,0.226,0,0.1,-0.04,Biltmore Championship Asheville,PGA Tour
Ben James,0.401,1.059,0.35,0.05,0.028,0,0.83,-0.04,Biltmore Championship Asheville,PGA Tour
Takumi Kanaya,-0.276,1.059,-0.448,0.218,0.23,0,-0.28,-0.04,Biltmore Championship Asheville,PGA Tour
Jeffrey Kang,-0.346,1.059,-0.201,-0.306,0.006,0,-0.85,-0.04,Biltmore Championship Asheville,PGA Tour
Johnny Keefer,0.405,1.059,0.223,-0.097,-0.175,0,0.35,-0.04,Biltmore Championship Asheville,PGA Tour
Michael Kim,-0.213,1.059,0.267,0.317,0.09,0,0.46,-0.04,Biltmore Championship Asheville,PGA Tour
Chris Kirk,0.069,1.059,0.437,-0.337,0.045,0,0.21,-0.04,Biltmore Championship Asheville,PGA Tour
Patton Kizzire,-0.854,1.059,-0.454,-0.162,0.173,0,-1.3,-0.04,Biltmore Championship Asheville,PGA Tour
Ben Kohles,0.089,1.059,0.326,-0.11,-0.037,0,0.27,-0.04,Biltmore Championship Asheville,PGA Tour
Jackson Koivun,0.499,1.059,0.408,0.229,0.046,0,1.18,-0.04,Biltmore Championship Asheville,PGA Tour
Christo Lamprecht,-0.207,1.059,-1.187,-0.184,-0.081,0,-1.66,-0.04,Biltmore Championship Asheville,PGA Tour
Hank Lebioda,-0.293,1.059,-0.021,-0.214,-0.024,0,-0.55,-0.04,Biltmore Championship Asheville,PGA Tour
Haotong Li,0.235,1.059,0.099,-0.14,-0.279,0,-0.09,-0.04,Biltmore Championship Asheville,PGA Tour
David Lipsky,-0.435,1.059,-0.258,0.019,0.118,0,-0.56,-0.04,Biltmore Championship Asheville,PGA Tour
Luke List,-0.115,1.059,-0.611,-0.244,-0.203,0,-1.17,-0.04,Biltmore Championship Asheville,PGA Tour
Justin Lower,-0.35,1.059,-0.329,-0.11,-0.091,0,-0.88,-0.04,Biltmore Championship Asheville,PGA Tour
Peter Malnati,-0.828,1.059,-0.62,0.204,0.155,0,-1.09,-0.04,Biltmore Championship Asheville,PGA Tour
Ben Martin,-0.349,1.059,-0.173,-0.368,-0.098,0,-0.99,-0.04,Biltmore Championship Asheville,PGA Tour
Denny McCarthy,-0.357,1.059,0.051,0.539,0.095,0,0.33,-0.04,Biltmore Championship Asheville,PGA Tour
Max McGreevy,-0.029,1.059,0.169,-0.151,0.062,0,0.05,-0.04,Biltmore Championship Asheville,PGA Tour
Mac Meissner,0.08,1.059,0.234,0.283,0.238,0,0.83,-0.04,Biltmore Championship Asheville,PGA Tour
Troy Merritt,-0.688,1.059,-0.641,0.094,-0.042,0,-1.28,-0.04,Biltmore Championship Asheville,PGA Tour
Taylor Moore,0.129,1.059,-0.172,0.065,0.098,0,0.12,-0.04,Biltmore Championship Asheville,PGA Tour
William Mouw,0.073,1.059,0.303,-0.191,-0.107,0,0.08,-0.04,Biltmore Championship Asheville,PGA Tour
Keita Nakajima,0.374,1.059,-0.006,0.245,-0.038,0,0.57,-0.04,Biltmore Championship Asheville,PGA Tour
Henrik Norlander,-0.554,1.059,-0.064,-0.348,-0.139,0,-1.1,-0.04,Biltmore Championship Asheville,PGA Tour
Andrew Novak,0.213,1.059,0.344,-0.263,0.205,0,0.5,-0.04,Biltmore Championship Asheville,PGA Tour
Pontus Nyholm,0.019,1.059,-0.417,-0.064,-0.1,0,-0.56,-0.04,Biltmore Championship Asheville,PGA Tour
John Parry,0.064,1.059,0.255,-0.198,0.115,0,0.24,-0.04,Biltmore Championship Asheville,PGA Tour
Jeremy Paul,-0.543,1.059,-0.651,-0.167,-0.056,0,-1.42,-0.04,Biltmore Championship Asheville,PGA Tour
Matthieu Pavon,0.382,1.059,-0.301,-0.045,-0.158,0,-0.12,-0.04,Biltmore Championship Asheville,PGA Tour
Taylor Pendrith,0.199,1.059,0.052,-0.147,0.003,0,0.11,-0.04,Biltmore Championship Asheville,PGA Tour
Marco Penge,0.522,1.059,0.081,0.042,-0.06,0,0.59,-0.04,Biltmore Championship Asheville,PGA Tour
Paul Peterson,-0.542,1.059,-0.085,0.018,0.086,0,-0.52,-0.04,Biltmore Championship Asheville,PGA Tour
Chandler Phillips,-0.171,1.059,-0.222,0.27,0.24,0,0.12,-0.04,Biltmore Championship Asheville,PGA Tour
J.T. Poston,0.176,1.059,0.203,0.192,0.056,0,0.63,-0.04,Biltmore Championship Asheville,PGA Tour
Seamus Power,-0.289,1.059,-0.286,0.158,0.117,0,-0.3,-0.04,Biltmore Championship Asheville,PGA Tour
Andrew Putnam,-0.723,1.059,0.117,0.294,0.304,0,-0.01,-0.04,Biltmore Championship Asheville,PGA Tour
Chad Ramey,-0.218,1.059,-0.322,0.142,0.094,0,-0.3,-0.04,Biltmore Championship Asheville,PGA Tour
Davis Riley,-0.54,1.059,-0.426,0.275,-0.004,0,-0.69,-0.04,Biltmore Championship Asheville,PGA Tour
Kevin Roy,0.218,1.059,0.053,0.051,0.084,0,0.41,-0.04,Biltmore Championship Asheville,PGA Tour
Marcelo Rozo,-0.117,1.059,-0.445,-0.486,-0.361,0,-1.41,-0.04,Biltmore Championship Asheville,PGA Tour
Isaiah Salinda,0.322,1.059,-0.202,-0.439,-0.246,0,-0.57,-0.04,Biltmore Championship Asheville,PGA Tour
