Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Ludvig Aberg,0.636,0.185,0.786,0.218,0.125,0,1.77,0,FedEx St. Jude Championship,PGA Tour
Akshay Bhatia,-0.174,0.185,0.393,0.498,0.16,0,0.88,0,FedEx St. Jude Championship,PGA Tour
Michael Brennan,0.7467,0.4656,0.3222,0.0278,-0.32,-0.21,0.8583,-0.04,FedEx St. Jude Championship,PGA Tour
Jacob Bridgeman,0.097,0.185,0.265,0.401,0.083,0,0.85,0,FedEx St. Jude Championship,PGA Tour
Sam Burns,0.403,0.185,0.636,0.607,0.065,0,1.71,0,FedEx St. Jude Championship,PGA Tour
Patrick Cantlay,0.344,0.185,0.745,0.194,0.21,0,1.49,0,FedEx St. Jude Championship,PGA Tour
Ricky Castillo,0.1214,0.1743,-0.0414,0.0386,0.26,-0.04,0.4367,0.01,FedEx St. Jude Championship,PGA Tour
Bud Cauley,0.3825,0.55,0.3175,-0.2037,0.37,0.02,1.146,0.17,FedEx St. Jude Championship,PGA Tour
Wyndham Clark,0.021,0.185,0.272,0.508,0.352,0,1.15,0,FedEx St. Jude Championship,PGA Tour
Eric Cole,-0.2589,0.5322,0.1322,0.7367,0.3044,-0.11,0.3217,0.05,FedEx St. Jude Championship,PGA Tour
Corey Conners,0.318,0.185,0.535,0.005,-0.026,0,0.83,0,FedEx St. Jude Championship,PGA Tour
Pierceson Coody,0.2145,0.26,-0.6318,0.1418,-0.1927,-0.21,-1.4,-0.03,FedEx St. Jude Championship,PGA Tour
Nico Echavarria,-0.0256,0.2889,0.1833,0.2111,0.01,0.1,0.404,0.06,FedEx St. Jude Championship,PGA Tour
Harris English,0.3275,0.2087,-0.2762,-0.2025,0.4575,0.04,0.038,0.24,FedEx St. Jude Championship,PGA Tour
Alex Fitzpatrick,0.58,1.0762,1.0263,-0.25,-0.0112,0.13,0.984,-0.04,FedEx St. Jude Championship,PGA Tour
Matt Fitzpatrick,0.293,0.185,0.826,0.267,0.406,0,1.79,0,FedEx St. Jude Championship,PGA Tour
Tommy Fleetwood,0.509,0.185,0.627,0.395,0.329,0,1.86,0,FedEx St. Jude Championship,PGA Tour
Rickie Fowler,0.331,0.185,0.297,0.229,0.02,0,0.88,0,FedEx St. Jude Championship,PGA Tour
Ryan Fox,0.163,0.185,0.298,0.208,0.022,0,0.69,0,FedEx St. Jude Championship,PGA Tour
Ryan Gerard,0.34,0.7822,0.2589,0.45,-0.0144,0.07,1.238,-0.03,FedEx St. Jude Championship,PGA Tour
Chris Gotterup,0.729,0.185,0.543,0.281,0.013,0,1.57,0,FedEx St. Jude Championship,PGA Tour
Ben Griffin,0.1511,1.0378,0.3156,0.48,0.5478,-0.03,0.712,0.12,FedEx St. Jude Championship,PGA Tour
Harry Hall,-0.512,0.306,0.1,-0.032,0.411,-0.12,-0.1567,-0.02,FedEx St. Jude Championship,PGA Tour
Brian Harman,-0.1178,0.3222,0.2633,0.4311,0.0589,0.18,0.586,0.13,FedEx St. Jude Championship,PGA Tour
Russell Henley,0.258,0.185,0.435,0.404,0.114,0,1.21,0,FedEx St. Jude Championship,PGA Tour
Ryo Hisatsune,0.344,0.208,0.214,-0.279,-0.007,0.08,0.16,0.0,FedEx St. Jude Championship,PGA Tour
Nicolai Hojgaard,0.345,0.185,0.39,0.083,0.063,0,0.88,0,FedEx St. Jude Championship,PGA Tour
Max Homa,0.068,0.185,-0.003,0.274,0.024,0,0.36,0,FedEx St. Jude Championship,PGA Tour
Viktor Hovland,0.392,0.185,0.787,0.167,0.157,0,1.5,0,FedEx St. Jude Championship,PGA Tour
Sungjae Im,0.3483,0.525,-0.5058,0.2733,0.3133,0.05,0.7029,0.19,FedEx St. Jude Championship,PGA Tour
Michael Kim,-0.1364,0.3673,0.3045,0.3118,0.0473,-0.04,0.2786,0.04,FedEx St. Jude Championship,PGA Tour
Si Woo Kim,0.423,0.185,0.744,0.12,0.267,0,1.55,0,FedEx St. Jude Championship,PGA Tour
Tom Kim,0.0387,1.9375,1.1887,0.1275,0.1525,0.12,1.832,0.02,FedEx St. Jude Championship,PGA Tour
Kurt Kitayama,0.449,0.185,0.581,0.026,0.031,0,1.09,0,FedEx St. Jude Championship,PGA Tour
Jake Knapp,0.337,0.185,0.323,0.225,-0.099,0,0.79,0,FedEx St. Jude Championship,PGA Tour
Jackson Koivun,0.535,0.675,0.37,0.015,0.275,0.08,1.37,0.02,FedEx St. Jude Championship,PGA Tour
Min Woo Lee,0.611,0.185,0.395,0.197,0.218,0,1.42,0,FedEx St. Jude Championship,PGA Tour
Shane Lowry,0.324,0.185,0.708,-0.034,0.009,0,1.01,0,FedEx St. Jude Championship,PGA Tour
Robert MacIntyre,0.391,0.185,0.311,0.466,0.164,0,1.33,0,FedEx St. Jude Championship,PGA Tour
Hideki Matsuyama,0.0411,1.07,0.3978,0.1133,0.4278,0.06,1.664,0.06,FedEx St. Jude Championship,PGA Tour
Matt McCarty,-0.3611,0.2622,-0.0078,0.58,-0.1311,0.09,0.166,0.02,FedEx St. Jude Championship,PGA Tour
Rory McIlroy,1.139,0.185,0.568,0.313,0.14,0,2.16,0,FedEx St. Jude Championship,PGA Tour
Maverick McNealy,0.1671,0.5343,-0.0857,0.6129,0.3386,-0.13,0.8075,-0.03,FedEx St. Jude Championship,PGA Tour
Keith Mitchell,0.6456,0.4089,0.3744,-0.2989,-0.0544,-0.12,0.746,0.08,FedEx St. Jude Championship,PGA Tour
Collin Morikawa,0.489,0.185,0.806,0.223,0.027,0,1.54,0,FedEx St. Jude Championship,PGA Tour
Alex Noren,0.2137,0.82,-0.2075,0.7575,0.08,0.19,0.248,0.06,FedEx St. Jude Championship,PGA Tour
J.T. Poston,0.3925,0.91,0.0288,0.2537,-0.0775,0.16,0.525,0.17,FedEx St. Jude Championship,PGA Tour
Aldrich Potgieter,0.4363,0.2275,-0.3588,0.1888,-0.5029,-0.42,-1.042,-0.04,FedEx St. Jude Championship,PGA Tour
Aaron Rai,0.3586,0.7871,0.6457,0.08,0.1557,0.4,0.724,0.07,FedEx St. Jude Championship,PGA Tour
Kristoffer Reitan,0.603,0.185,0.239,0.233,-0.117,0,0.96,0,FedEx St. Jude Championship,PGA Tour
Patrick Rodgers,-0.2689,0.0267,-0.6189,0.1889,-0.2622,-0.19,-1.7225,0.17,FedEx St. Jude Championship,PGA Tour
Justin Rose,0.224,0.185,0.517,0.086,0.05,0,0.88,0,FedEx St. Jude Championship,PGA Tour
Xander Schauffele,0.793,0.185,0.714,0.199,0.153,0,1.86,0,FedEx St. Jude Championship,PGA Tour
Scottie Scheffler,0.795,0.185,1.096,0.531,0.365,0,2.79,0,FedEx St. Jude Championship,PGA Tour
Matti Schmid,0.1343,0.1629,-0.0657,-0.4686,-0.2457,-0.19,-0.775,0.06,FedEx St. Jude Championship,PGA Tour
Adam Scott,0.317,0.185,0.535,-0.068,-0.004,0,0.78,0,FedEx St. Jude Championship,PGA Tour
Alex Smalley,0.2562,1.0263,0.5038,0.4213,-0.125,0.05,-0.2975,0.06,FedEx St. Jude Championship,PGA Tour
Jordan Smith,0.4163,0.4625,0.4913,-0.0688,-0.1775,0.13,1.1475,-0.04,FedEx St. Jude Championship,PGA Tour
J.J. Spaun,0.34,0.185,0.747,-0.107,0.12,0,1.1,0,FedEx St. Jude Championship,PGA Tour
Jordan Spieth,0.35,0.2711,-0.08,-0.0267,-0.0122,-0.09,-0.158,0.04,FedEx St. Jude Championship,PGA Tour
Sam Stevens,0.093,0.092,-0.008,-0.514,0.013,-0.06,-0.8817,-0.06,FedEx St. Jude Championship,PGA Tour
Sepp Straka,-0.1114,0.0314,0.0014,-0.4357,-0.3,0.09,-0.915,0.0,FedEx St. Jude Championship,PGA Tour
Nick Taylor,-0.1722,0.39,-0.0533,0.7233,0.0233,0.13,0.09,0.12,FedEx St. Jude Championship,PGA Tour
Sahith Theegala,-0.0978,0.1167,0.2844,0.0033,0.2033,-0.11,0.506,-0.05,FedEx St. Jude Championship,PGA Tour
Justin Thomas,0.465,0.9313,0.3337,0.2687,0.6138,-0.04,1.545,0.02,FedEx St. Jude Championship,PGA Tour
Michael Thorbjornsen,0.549,0.185,0.457,0.085,0.195,0,1.28,0,FedEx St. Jude Championship,PGA Tour
Gary Woodland,0.53,0.185,0.21,0.025,-0.259,0,0.51,0,FedEx St. Jude Championship,PGA Tour
Sudarshan Yellamaraju,0.217,0.185,-0.001,0.072,0.002,0,0.29,0,FedEx St. Jude Championship,PGA Tour
Cameron Young,0.7929,2.7529,0.74,-0.3086,0.2314,-0.09,0.855,0.08,FedEx St. Jude Championship,PGA Tour
