Rank,Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Power,Win%,Tournament,Tour
1,Scottie Scheffler,0.7914,4.6386,1.2343,0.4429,0.2343,-0.11,2.845,0.11,8.6586,8.98,FedEx St. Jude Championship,PGA Tour
2,Sam Burns,0.5,2.9467,0.965,0.7017,0.2217,-0.12,2.8167,0.15,7.7996,6.75,FedEx St. Jude Championship,PGA Tour
3,Tommy Fleetwood,0.6314,1.9586,0.4757,0.5129,0.42,-0.01,2.1675,0.15,6.3299,4.13,FedEx St. Jude Championship,PGA Tour
4,Matt Fitzpatrick,0.0933,2.1833,0.9467,0.13,0.67,-0.04,2.085,0.11,5.956,3.65,FedEx St. Jude Championship,PGA Tour
5,Rory McIlroy,1.2725,1.395,0.1625,0.7125,0.04,-0.22,1.98,0.08,5.5295,3.17,FedEx St. Jude Championship,PGA Tour
6,Wyndham Clark,0.06,2.8986,0.2171,0.8829,0.4629,-0.11,2.012,0.04,5.3027,2.94,FedEx St. Jude Championship,PGA Tour
7,Tom Kim,0.0387,1.9375,1.1887,0.1275,0.1525,0.0,1.832,0.03,5.1641,2.8,FedEx St. Jude Championship,PGA Tour
8,Collin Morikawa,0.2425,0.8775,0.555,0.765,-0.1775,0.01,1.76,0.11,4.6994,2.4,FedEx St. Jude Championship,PGA Tour
9,Russell Henley,0.3983,0.975,0.365,0.48,-0.0833,0.08,1.82,0.08,4.6429,2.36,FedEx St. Jude Championship,PGA Tour
10,Si Woo Kim,0.3337,1.575,0.83,-0.0338,0.375,0.02,1.5025,0.02,4.5481,2.28,FedEx St. Jude Championship,PGA Tour
11,Justin Thomas,0.465,0.9313,0.3337,0.2687,0.6138,-0.07,1.545,0.12,4.5246,2.26,FedEx St. Jude Championship,PGA Tour
12,Viktor Hovland,0.17,1.01,0.8533,-0.0267,0.168,-0.03,1.6033,0.1,4.252,2.07,FedEx St. Jude Championship,PGA Tour
13,Hideki Matsuyama,0.0411,1.07,0.3978,0.1133,0.4278,-0.02,1.664,0.16,4.1511,2.0,FedEx St. Jude Championship,PGA Tour
14,Patrick Cantlay,0.2983,0.855,0.64,0.3433,0.125,-0.05,1.395,0.13,4.1245,1.98,FedEx St. Jude Championship,PGA Tour
15,Chris Gotterup,0.7963,1.08,0.4575,0.5575,-0.1688,-0.17,1.454,-0.04,3.97,1.88,FedEx St. Jude Championship,PGA Tour
16,Ryan Fox,0.4514,0.7014,0.5071,0.2257,-0.0857,-0.08,1.585,-0.02,3.6938,1.72,FedEx St. Jude Championship,PGA Tour
17,J.J. Spaun,0.2925,0.96,0.895,-0.1913,0.3225,0.0,1.045,0.09,3.6332,1.68,FedEx St. Jude Championship,PGA Tour
18,Cameron Young,0.7929,2.7529,0.74,-0.3086,0.2314,-0.14,0.855,0.05,3.627,1.68,FedEx St. Jude Championship,PGA Tour
19,Xander Schauffele,0.7633,1.3767,0.09,-0.0267,0.225,-0.14,1.325,0.11,3.5029,1.61,FedEx St. Jude Championship,PGA Tour
20,Robert MacIntyre,0.4329,0.6414,0.0129,0.2771,0.07,-0.05,1.59,0.08,3.4887,1.6,FedEx St. Jude Championship,PGA Tour
21,Kurt Kitayama,0.5457,0.6957,0.73,0.1757,0.07,-0.09,1.0525,0.03,3.4822,1.6,FedEx St. Jude Championship,PGA Tour
22,Jackson Koivun,0.535,0.675,0.37,0.015,0.275,-0.04,1.37,-0.05,3.4567,1.59,FedEx St. Jude Championship,PGA Tour
23,Alex Fitzpatrick,0.58,1.0762,1.0263,-0.25,-0.0112,-0.01,0.984,-0.05,3.394,1.55,FedEx St. Jude Championship,PGA Tour
24,Ludvig Aberg,0.665,1.28,0.7833,0.0083,0.2,-0.13,0.85,0.01,3.3796,1.55,FedEx St. Jude Championship,PGA Tour
25,Aaron Rai,0.3586,0.7871,0.6457,0.08,0.1557,0.1,0.724,0.13,3.2482,1.48,FedEx St. Jude Championship,PGA Tour
26,Ryan Gerard,0.34,0.7822,0.2589,0.45,-0.0144,-0.04,1.238,-0.02,3.1127,1.41,FedEx St. Jude Championship,PGA Tour
27,Shane Lowry,0.3833,0.4283,0.8767,-0.2117,-0.005,0.01,0.9475,0.08,3.0913,1.4,FedEx St. Jude Championship,PGA Tour
28,Justin Rose,0.3033,0.7283,0.4283,0.205,-0.115,-0.03,1.06,0.12,2.9628,1.35,FedEx St. Jude Championship,PGA Tour
29,Ben Griffin,0.1511,1.0378,0.3156,0.48,0.5478,-0.05,0.712,0.05,2.9468,1.34,FedEx St. Jude Championship,PGA Tour
30,Bud Cauley,0.3825,0.55,0.3175,-0.2037,0.37,-0.03,1.146,0.01,2.8545,1.3,FedEx St. Jude Championship,PGA Tour
31,Rickie Fowler,0.3775,0.675,0.2013,0.085,0.0187,-0.01,0.9925,0.08,2.6159,1.2,FedEx St. Jude Championship,PGA Tour
32,Jordan Smith,0.4163,0.4625,0.4913,-0.0688,-0.1775,-0.03,1.1475,-0.05,2.5688,1.18,FedEx St. Jude Championship,PGA Tour
33,Michael Thorbjornsen,0.5183,0.7267,0.0733,-0.2083,0.3083,-0.1,1.18,-0.05,2.4689,1.14,FedEx St. Jude Championship,PGA Tour
34,Jacob Bridgeman,0.1812,0.3837,0.1787,0.245,0.0288,-0.02,1.104,0.0,2.4355,1.13,FedEx St. Jude Championship,PGA Tour
35,Maverick McNealy,0.1671,0.5343,-0.0857,0.6129,0.3386,-0.09,0.8075,0.06,2.3254,1.09,FedEx St. Jude Championship,PGA Tour
36,Corey Conners,0.2,0.54,0.5222,-0.0389,-0.0089,0.0,0.745,0.09,2.3036,1.08,FedEx St. Jude Championship,PGA Tour
37,Keith Mitchell,0.6456,0.4089,0.3744,-0.2989,-0.0544,-0.09,0.746,0.07,2.0894,1.01,FedEx St. Jude Championship,PGA Tour
38,Kristoffer Reitan,0.7143,0.9157,0.3643,0.1271,-0.1557,-0.09,0.545,-0.05,2.0686,1.0,FedEx St. Jude Championship,PGA Tour
39,J.T. Poston,0.3925,0.91,0.0288,0.2537,-0.0775,0.04,0.525,0.14,2.0596,1.0,FedEx St. Jude Championship,PGA Tour
40,Michael Brennan,0.7467,0.4656,0.3222,0.0278,-0.32,-0.15,0.8583,-0.05,2.0265,0.98,FedEx St. Jude Championship,PGA Tour
41,Brian Harman,-0.1178,0.3222,0.2633,0.4311,0.0589,0.05,0.586,0.11,1.9705,0.97,FedEx St. Jude Championship,PGA Tour
42,Sungjae Im,0.3483,0.525,-0.5058,0.2733,0.3133,-0.02,0.7029,0.1,1.6926,0.88,FedEx St. Jude Championship,PGA Tour
43,Max Homa,0.18,0.3471,-0.4129,0.4429,-0.0583,-0.04,1.02,0.03,1.6606,0.87,FedEx St. Jude Championship,PGA Tour
44,Alex Noren,0.2137,0.82,-0.2075,0.7575,0.08,0.05,0.248,0.02,1.5412,0.84,FedEx St. Jude Championship,PGA Tour
45,Eric Cole,-0.2589,0.5322,0.1322,0.7367,0.3044,-0.02,0.3217,0.03,1.5379,0.84,FedEx St. Jude Championship,PGA Tour
46,Sahith Theegala,-0.0978,0.1167,0.2844,0.0033,0.2033,-0.06,0.506,0.06,1.2471,0.76,FedEx St. Jude Championship,PGA Tour
47,Michael Kim,-0.1364,0.3673,0.3045,0.3118,0.0473,-0.01,0.2786,0.07,1.221,0.75,FedEx St. Jude Championship,PGA Tour
48,Adam Scott,0.3017,0.7883,0.3317,-0.0233,-0.115,-0.07,0.1033,0.14,1.147,0.73,FedEx St. Jude Championship,PGA Tour
49,Nico Echavarria,-0.0256,0.2889,0.1833,0.2111,0.01,0.02,0.404,-0.01,1.1269,0.73,FedEx St. Jude Championship,PGA Tour
50,Akshay Bhatia,-0.3343,0.4057,0.0757,0.4329,0.4586,-0.04,0.23,0.05,1.0552,0.71,FedEx St. Jude Championship,PGA Tour
51,Nick Taylor,-0.1722,0.39,-0.0533,0.7233,0.0233,0.04,0.09,0.09,0.9632,0.69,FedEx St. Jude Championship,PGA Tour
52,Ricky Castillo,0.1214,0.1743,-0.0414,0.0386,0.26,-0.04,0.4367,-0.05,0.9091,0.68,FedEx St. Jude Championship,PGA Tour
53,Alex Smalley,0.2562,1.0263,0.5038,0.4213,-0.125,-0.04,-0.2975,-0.04,0.909,0.68,FedEx St. Jude Championship,PGA Tour
54,Gary Woodland,0.6243,0.6257,0.1357,0.0614,-0.3029,-0.08,0.0133,0.06,0.8204,0.66,FedEx St. Jude Championship,PGA Tour
55,Harris English,0.3275,0.2087,-0.2762,-0.2025,0.4575,-0.04,0.038,0.2,0.7181,0.64,FedEx St. Jude Championship,PGA Tour
56,Ryo Hisatsune,0.344,0.208,0.214,-0.279,-0.007,-0.02,0.16,-0.05,0.557,0.6,FedEx St. Jude Championship,PGA Tour
57,Matt McCarty,-0.3611,0.2622,-0.0078,0.58,-0.1311,0.03,0.166,-0.05,0.28,0.55,FedEx St. Jude Championship,PGA Tour
58,Min Woo Lee,0.6,0.5433,0.2867,-0.1633,0.145,-0.15,-0.41,-0.04,0.2152,0.54,FedEx St. Jude Championship,PGA Tour
59,Jordan Spieth,0.35,0.2711,-0.08,-0.0267,-0.0122,-0.08,-0.158,0.07,0.0879,0.52,FedEx St. Jude Championship,PGA Tour
60,Harry Hall,-0.512,0.306,0.1,-0.032,0.411,-0.04,-0.1567,-0.01,-0.3639,0.44,FedEx St. Jude Championship,PGA Tour
61,Nicolai Hojgaard,0.2225,0.3212,0.2675,-0.0912,0.125,-0.18,-0.498,-0.05,-0.4781,0.43,FedEx St. Jude Championship,PGA Tour
62,Sudarshan Yellamaraju,0.2556,0.1344,-0.4322,-0.0667,0.0938,-0.06,-0.08,-0.05,-0.5344,0.42,FedEx St. Jude Championship,PGA Tour
