Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Christiaan Bezuidenhout,-0.1729,0.28,0.4543,0.0886,0.1271,-0.05,0.732,-0.04,Presidents Cup,PGA Tour
Jacob Bridgeman,0.1744,0.9067,0.34,0.6478,-0.0044,0.0,1.088,-0.04,Presidents Cup,PGA Tour
Sam Burns,0.2617,3.7133,1.18,0.6733,0.06,0.05,0.81,-0.04,Presidents Cup,PGA Tour
Patrick Cantlay,0.1986,0.8229,1.0067,-0.0757,0.0457,0.01,1.185,0.02,Presidents Cup,PGA Tour
Wyndham Clark,0.185,4.1475,0.2512,0.57,0.4387,0.05,0.5575,-0.01,Presidents Cup,PGA Tour
Corey Conners,0.2938,0.5613,0.4213,-0.2375,-0.0512,-0.02,0.6525,0.02,Presidents Cup,PGA Tour
Nico Echavarria,-0.0556,0.39,-0.0444,0.3256,0.0311,-0.02,-0.348,-0.04,Presidents Cup,PGA Tour
Ryan Fox,0.0214,0.5614,0.3029,0.2171,-0.08,0.05,-0.6367,-0.04,Presidents Cup,PGA Tour
Chris Gotterup,0.7362,1.29,0.3287,0.2313,-0.0075,0.08,1.32,-0.04,Presidents Cup,PGA Tour
Russell Henley,0.4271,1.2986,0.3614,0.7,-0.3043,-0.09,1.0267,-0.04,Presidents Cup,PGA Tour
Ryo Hisatsune,0.2478,0.2022,0.2978,-0.4744,-0.0456,0.0,-0.184,-0.04,Presidents Cup,PGA Tour
Sungjae Im,0.32,0.679,-0.518,0.357,0.219,0.0,0.7033,0.0,Presidents Cup,PGA Tour
Si Woo Kim,0.14,1.3857,0.9543,-0.1629,0.2571,-0.04,1.3075,0.0,Presidents Cup,PGA Tour
Tom Kim,0.0367,1.81,0.9378,0.1911,0.0778,-0.03,0.8933,-0.04,Presidents Cup,PGA Tour
Jackson Koivun,0.5117,0.8167,0.5483,0.0617,0.2267,-0.01,1.436,-0.04,Presidents Cup,PGA Tour
Min Woo Lee,0.0117,0.3033,0.0567,-0.2417,0.0983,0.08,-0.0733,-0.04,Presidents Cup,PGA Tour
Hideki Matsuyama,0.2511,1.2444,0.4778,-0.05,0.4211,-0.02,1.496,0.02,Presidents Cup,PGA Tour
Collin Morikawa,0.42,1.496,0.62,0.866,-0.342,-0.04,0.845,-0.03,Presidents Cup,PGA Tour
Xander Schauffele,0.6843,1.0329,0.2729,-0.11,0.0957,0.06,0.72,-0.01,Presidents Cup,PGA Tour
Scottie Scheffler,0.5814,6.2443,1.0386,0.4714,0.3257,0.02,2.1375,-0.04,Presidents Cup,PGA Tour
Adam Scott,0.3667,0.655,0.2867,0.2317,-0.2867,0.02,0.6567,0.0,Presidents Cup,PGA Tour
Nick Taylor,-0.2137,0.115,-0.275,0.5025,0.0138,-0.04,-0.0825,-0.04,Presidents Cup,PGA Tour
Justin Thomas,0.2957,0.6886,-0.0414,-0.0843,0.8443,0.02,0.16,0.04,Presidents Cup,PGA Tour
Cameron Young,0.5786,0.48,0.4143,-0.5343,0.1671,0.06,0.625,-0.04,Presidents Cup,PGA Tour
