Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Ludvig Aberg,0.7286,1.4114,0.6914,-0.0086,0.1743,0.06,1.18,-0.04,TOUR Championship,PGA Tour
Akshay Bhatia,-0.4357,0.3371,0.1071,0.1343,0.2729,-0.03,0.23,-0.04,TOUR Championship,PGA Tour
Jacob Bridgeman,0.2025,0.4325,0.1837,0.3375,-0.0938,-0.02,1.02,-0.04,TOUR Championship,PGA Tour
Sam Burns,0.385,3.84,1.1383,0.8783,0.2917,0.02,2.2267,-0.04,TOUR Championship,PGA Tour
Patrick Cantlay,0.2729,0.9071,0.7533,0.26,0.0914,0.0,1.1175,-0.01,TOUR Championship,PGA Tour
Wyndham Clark,0.0688,2.9775,0.3187,0.8187,0.4125,-0.01,1.558,-0.04,TOUR Championship,PGA Tour
Alex Fitzpatrick,0.5025,0.8875,0.8538,-0.315,-0.0112,0.02,0.28,-0.04,TOUR Championship,PGA Tour
Matt Fitzpatrick,0.06,2.0457,0.8629,0.24,0.57,-0.01,2.2075,-0.03,TOUR Championship,PGA Tour
Tommy Fleetwood,0.58,2.2043,0.5114,0.4143,0.59,-0.01,2.0425,-0.02,TOUR Championship,PGA Tour
Ryan Fox,0.4057,0.6586,0.3186,0.2814,-0.1457,0.02,0.8325,0.0,TOUR Championship,PGA Tour
Ryan Gerard,0.3233,0.8089,0.1589,0.4111,0.1111,0.01,0.916,-0.04,TOUR Championship,PGA Tour
Chris Gotterup,0.7488,1.1075,0.5475,0.4113,-0.1913,0.06,1.202,-0.04,TOUR Championship,PGA Tour
Russell Henley,0.5017,1.0317,0.3,0.6983,-0.2133,-0.04,1.3167,-0.01,TOUR Championship,PGA Tour
Viktor Hovland,0.025,1.11,0.9233,-0.0833,0.308,0.01,1.4125,-0.04,TOUR Championship,PGA Tour
Si Woo Kim,0.4213,1.7263,0.7825,0.0612,0.2275,-0.01,1.4075,-0.06,TOUR Championship,PGA Tour
Tom Kim,0.0267,1.8578,1.1,0.1633,0.1733,-0.02,1.7083,-0.04,TOUR Championship,PGA Tour
Min Woo Lee,0.4617,0.425,0.2533,-0.41,0.1883,0.06,-0.41,-0.04,TOUR Championship,PGA Tour
Robert MacIntyre,0.3925,0.5613,-0.085,0.1663,-0.0088,-0.01,1.59,-0.04,TOUR Championship,PGA Tour
Hideki Matsuyama,0.2,1.3144,0.4622,0.1067,0.3711,-0.02,1.962,-0.01,TOUR Championship,PGA Tour
Rory McIlroy,1.17,1.116,0.108,0.44,-0.008,0.09,1.135,-0.03,TOUR Championship,PGA Tour
Collin Morikawa,0.2425,0.8775,0.6275,0.765,-0.2725,0.01,1.56,-0.04,TOUR Championship,PGA Tour
Kristoffer Reitan,0.7071,0.7729,0.2114,0.1914,-0.3086,0.04,-0.2275,-0.04,TOUR Championship,PGA Tour
Justin Rose,0.1917,0.765,0.5767,0.265,-0.09,0.01,0.22,-0.01,TOUR Championship,PGA Tour
Xander Schauffele,0.7143,1.4943,0.1157,0.0857,0.1786,0.06,1.3225,-0.01,TOUR Championship,PGA Tour
Scottie Scheffler,0.7429,4.8314,1.22,0.64,0.2243,0.02,3.115,-0.04,TOUR Championship,PGA Tour
Adam Scott,0.4,0.4983,0.13,0.2017,-0.2983,0.03,-0.17,0.03,TOUR Championship,PGA Tour
Alex Smalley,0.2013,0.8163,0.39,0.39,-0.1,0.01,0.305,-0.04,TOUR Championship,PGA Tour
J.J. Spaun,0.3362,0.8712,0.715,-0.2512,0.3588,0.01,0.4175,0.0,TOUR Championship,PGA Tour
Gary Woodland,0.6171,0.6257,0.0314,0.01,-0.2843,0.06,-0.3233,0.01,TOUR Championship,PGA Tour
Cameron Young,0.6571,0.7271,0.6886,-0.3914,0.1929,0.06,0.855,-0.04,TOUR Championship,PGA Tour
