Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Zach Bauchou,0.118571428571429,0.257142857142857,0.415714285714286,-0.00857142857142858,0.00428571428571428,0.04,0.008,-0.04,Wyndham Championship,PGA Tour
Christiaan Bezuidenhout,-0.405,0.41125,0.5825,0.46,0.0825,0.17,0.792,0.04,Wyndham Championship,PGA Tour
Daniel Berger,0.203333333333333,0.19,0.27,-0.593333333333333,-0.151666666666667,0.08,-1.64333333333333,-0.01,Wyndham Championship,PGA Tour
Zac Blair,-0.428333333333333,0.435,0.405,0.241666666666667,0.145,0.36,1.375,-0.01,Wyndham Championship,PGA Tour
Chandler Blanchet,0.195555555555556,0.116666666666667,0.0933333333333333,-0.408888888888889,-0.5975,0.26,-0.718,-0.04,Wyndham Championship,PGA Tour
Keegan Bradley  ,0.16625,0.51875,0.6075,-0.10375,0.14875,-0.08,1.358,0.01,Wyndham Championship,PGA Tour
Michael Brennan,0.68875,0.285,0.19875,-0.2025,-0.31875,-0.21,0.858333333333333,-0.04,Wyndham Championship,PGA Tour
Blades Brown,0.37,0.8,0.93,0.425,0.225,-0.02,#VALUE!,-0.04,Wyndham Championship,PGA Tour
Brian Campbell  ,-0.507777777777778,0.00555555555555556,-0.135555555555556,-0.408888888888889,-0.11,0.36,-1.08833333333333,-0.01,Wyndham Championship,PGA Tour
Rafael Campos,-0.32,0,0.245714285714286,-0.875,-0.128333333333333,-0.11,-1.26,0,Wyndham Championship,PGA Tour
Ricky Castillo,0.185,0.185,-0.24,0.231666666666667,0.23,-0.04,0.41,0.01,Wyndham Championship,PGA Tour
Bud Cauley  ,0.321428571428571,0.628571428571429,0.391428571428571,-0.175714285714286,0.402857142857143,0.02,1.3875,0.17,Wyndham Championship,PGA Tour
Davis Chatfield,-0.64,0.175714285714286,0.207142857142857,0.307142857142857,-0.208571428571429,0.42,0.096,-0.04,Wyndham Championship,PGA Tour
Luke Clanton,-0.285714285714286,0.0457142857142857,0.494285714285714,-0.0528571428571429,-0.0414285714285714,-0.03,-0.122,0.02,Wyndham Championship,PGA Tour
Eric Cole,-0.30875,0.54,0.06875,0.8475,0.285,-0.11,0.683333333333334,0.05,Wyndham Championship,PGA Tour
Pierceson Coody,0.257,0.286,-0.37,0.316,-0.25,-0.21,-0.506666666666667,-0.03,Wyndham Championship,PGA Tour
Joel Dahmen,-0.08,0.115,0.5725,-0.83625,-0.25375,0.34,0.398,0.08,Wyndham Championship,PGA Tour
Cam Davis  ,-0.372,0,-0.752,0,-0.266,-0.17,-1.74666666666667,0.14,Wyndham Championship,PGA Tour
Jason Day  ,0.054,0,-0.954,-0.426,0.896,0,-0.495,-0.03,Wyndham Championship,PGA Tour
Zecheng Dou,0.0957142857142857,0.157142857142857,-0.281428571428572,0.285714285714286,-0.131428571428571,-0.16,-0.176,0.02,Wyndham Championship,PGA Tour
Adrien Dumont de Chassart,-0.91,0.0228571428571429,-0.181428571428571,0.422857142857143,0.704285714285714,-0.28,-0.26,-0.02,Wyndham Championship,PGA Tour
Nick Dunlap,-0.784285714285714,0.0857142857142857,-0.02,-0.311428571428571,0.332857142857143,-0.18,-0.956,-0.02,Wyndham Championship,PGA Tour
Nico Echavarria  ,-0.035,0.16875,0.25375,0.145,-0.0775,0.1,0.404,0.06,Wyndham Championship,PGA Tour
Austin Eckroat,-0.382857142857143,0.145714285714286,0.141428571428571,0.432857142857143,-0.277142857142857,-0.01,-0.182,0.04,Wyndham Championship,PGA Tour
Harris English  ,0.412857142857143,0.238571428571429,-0.0957142857142857,-0.118571428571429,0.404285714285714,0.04,0.3225,0.24,Wyndham Championship,PGA Tour
Tony Finau  ,0.375714285714286,0.151428571428571,-0.105714285714286,-0.354285714285714,0.272857142857143,-0.23,-0.386,-0.01,Wyndham Championship,PGA Tour
Patrick Fishburn,0.327142857142857,0.157142857142857,0.0871428571428572,-0.0642857142857143,-0.0757142857142857,-0.08,0.204,0.03,Wyndham Championship,PGA Tour
Steven Fisk,0.361428571428572,0.281428571428571,-0.778571428571429,-0.0371428571428571,-0.0585714285714286,-0.09,-0.5475,-0.02,Wyndham Championship,PGA Tour
Alex Fitzpatrick,0.558571428571429,1.23,1.07142857142857,-0.195714285714286,0.102857142857143,0.13,1.2475,-0.04,Wyndham Championship,PGA Tour
Brice Garnett,-0.07,0.14,0.08,-0.324285714285714,-0.391428571428571,0.28,-0.55,0.2,Wyndham Championship,PGA Tour
Ryan Gerard  ,0.25,0.88,0.26625,0.5925,0.05875,0.07,1.672,-0.03,Wyndham Championship,PGA Tour
Doug Ghim,0.715,0.516666666666667,0.035,0.0416666666666667,0.178333333333333,0.11,1.125,0.07,Wyndham Championship,PGA Tour
Lucas Glover  ,0.0222222222222222,0.275555555555556,0.567777777777778,-0.808888888888889,-0.128888888888889,0.35,-0.6,0.18,Wyndham Championship,PGA Tour
Max Greyserman  ,0.271,0.277,-0.637,0.267,0.083,-0.27,-0.275,0.03,Wyndham Championship,PGA Tour
Ben Griffin  ,0.16875,1.1675,0.36625,0.61375,0.54625,-0.03,1.218,0.12,Wyndham Championship,PGA Tour
Lanto Griffin,-0.162857142857143,0.0985714285714286,0.0214285714285714,-0.55,-0.00285714285714285,0.05,-0.712,0.04,Wyndham Championship,PGA Tour
Emiliano Grillo  ,0.274285714285714,0.448571428571429,0.324285714285714,-0.00999999999999999,-0.0442857142857143,0.24,1.2925,-0.02,Wyndham Championship,PGA Tour
Harry Hall  ,-0.59,0.116666666666667,-0.0266666666666666,-0.181111111111111,0.493333333333333,-0.12,-0.701666666666667,-0.02,Wyndham Championship,PGA Tour
Brian Harman  ,-0.0875,0.3625,0.37375,0.38625,0.0525,0.18,0.876,0.13,Wyndham Championship,PGA Tour
Garrick Higgo,0.0728571428571429,0.0642857142857143,-0.962857142857143,0.471428571428572,-0.221428571428571,-0.16,-0.895,-0.03,Wyndham Championship,PGA Tour
Joe Highsmith  ,-0.2275,0.04375,-0.4725,-0.37375,-0.105,-0.06,-0.64,-0.03,Wyndham Championship,PGA Tour
Kensei Hirata,-0.251428571428571,0,-0.748571428571429,-0.555714285714286,0.00428571428571428,0.22,-1.692,-0.04,Wyndham Championship,PGA Tour
Ryo Hisatsune,0.46,0.231111111111111,0.343333333333333,-0.268888888888889,-0.06,0.08,0.4,0,Wyndham Championship,PGA Tour
Lee Hodges,0.173333333333333,0.156666666666667,0.108333333333333,0.0966666666666667,-0.201666666666667,0.2,0.59,0,Wyndham Championship,PGA Tour
Rico Hoey,0.39875,0.1625,0.15,-0.51,0.0475,-0.01,-0.098,0.01,Wyndham Championship,PGA Tour
Tom Hoge  ,-0.222,0.218,0.521,-0.264,-0.106,0.1,-0.326666666666667,0.07,Wyndham Championship,PGA Tour
Rasmus Hojgaard,0.256666666666667,0.126666666666667,-0.373333333333333,0.0283333333333333,-0.0133333333333333,-0.36,-0.466666666666667,-0.01,Wyndham Championship,PGA Tour
Billy Horschel,-0.14,0.123333333333333,0.393333333333333,-0.112222222222222,-0.288888888888889,0.04,0.215,0.3,Wyndham Championship,PGA Tour
Beau Hossler,0.301428571428572,0.184285714285714,-0.227142857142857,0.255714285714286,0.185714285714286,-0.03,0.264,0.07,Wyndham Championship,PGA Tour
Mark Hubbard,0.0185714285714286,0.125714285714286,0.428571428571429,-0.775714285714286,0.107142857142857,0.1,-0.76,0.18,Wyndham Championship,PGA Tour
Mackenzie Hughes  ,-0.16,0.2,-0.432857142857143,0.391428571428571,0.547142857142857,-0.18,0.778,0.07,Wyndham Championship,PGA Tour
Sungjae Im  ,0.343636363636364,0.482727272727273,-0.550909090909091,0.182727272727273,0.330909090909091,0.05,0.04,0.19,Wyndham Championship,PGA Tour
Stephan Jaeger  ,-0.31375,0.3425,-0.1975,-0.33375,0.41875,-0.27,-0.652,0.05,Wyndham Championship,PGA Tour
Ben James,0.29,0.392,0.088,0.364,0.15,0.07,0.688,-0.04,Wyndham Championship,PGA Tour
Takumi Kanaya,-0.148571428571429,0.0842857142857143,-0.578571428571429,0.04,0.244285714285714,0.19,-0.112,-0.03,Wyndham Championship,PGA Tour
Jeffrey Kang,-0.0142857142857143,0.0342857142857143,-0.118571428571429,-0.611428571428571,0.18,-0.09,-0.498,-0.04,Wyndham Championship,PGA Tour
Johnny Keefer,0.451111111111111,0.255555555555556,0.494444444444444,0.02,-0.257777777777778,-0.12,0.19,-0.04,Wyndham Championship,PGA Tour
Michael Kim  ,-0.11,0.404,0.248,0.325,0.086,-0.04,0.481428571428571,0.04,Wyndham Championship,PGA Tour
Tom Kim,0.0157142857142857,1.84857142857143,1.20285714285714,0.00142857142857143,0.201428571428571,0.12,1.316,0.02,Wyndham Championship,PGA Tour
Chris Kirk  ,-0.161666666666667,0.24,0.726666666666667,-0.568333333333333,0.208333333333333,0.06,-0.455,0.16,Wyndham Championship,PGA Tour
Patton Kizzire,-1.38833333333333,0,-1.19833333333333,-0.886666666666667,0.305,-0.08,-3.5125,0.18,Wyndham Championship,PGA Tour
Brooks Koepka,0.26,0.294,0.284,-0.07,0.168,-0.13,0.475,0.01,Wyndham Championship,PGA Tour
Ben Kohles,0.186,0.52,0.482,0.086,-0.024,0.4,1.79666666666667,0.01,Wyndham Championship,PGA Tour
Jackson Koivun,0.573333333333333,0.743333333333333,0.373333333333333,0.16,0.173333333333333,0.08,1.51666666666667,0.02,Wyndham Championship,PGA Tour
Matt Kuchar,-0.688,0.308,0.054,0.278,0.468,0.28,1,0.09,Wyndham Championship,PGA Tour
Christo Lamprecht,-0.191428571428571,0,-1.95285714285714,-0.485714285714286,-0.295714285714286,-0.47,-2.912,-0.04,Wyndham Championship,PGA Tour
Hank Lebioda,-0.358571428571429,0.05,0.191428571428571,-1.02857142857143,0.184285714285714,0,-0.908,0.02,Wyndham Championship,PGA Tour
Haotong Li,0.2925,0,-0.2175,-0.03875,-1.04714285714286,-0.1,-1.184,-0.04,Wyndham Championship,PGA Tour
David Lipsky,-0.278571428571429,0.141428571428571,-0.102857142857143,0.0514285714285714,0.146666666666667,0.15,-0.1375,0.05,Wyndham Championship,PGA Tour
Luke List,0.716666666666667,0.0966666666666667,-0.47,-0.106666666666667,-0.283333333333333,-0.13,-0.135,-0.01,Wyndham Championship,PGA Tour
Justin Lower,-0.243333333333333,0.06,-0.0316666666666667,-0.225,-0.156666666666667,0.2,-0.84,0.06,Wyndham Championship,PGA Tour
Peter Malnati,-1.30166666666667,0.0283333333333333,-0.923333333333333,0.638333333333333,0.27,-0.17,-1.8875,0.25,Wyndham Championship,PGA Tour
Hideki Matsuyama  ,0.02875,0.99,0.34125,0.02125,0.4475,0.06,1.598,0.06,Wyndham Championship,PGA Tour
Denny McCarthy,-0.54375,0.27875,0.12125,0.7975,0.09625,0.03,0.174,0.21,Wyndham Championship,PGA Tour
Matt McCarty,-0.39875,0.23625,0.05375,0.4425,-0.12375,0.09,-0.05,0.02,Wyndham Championship,PGA Tour
Max McGreevy,-0.111111111111111,0.0977777777777778,0.231111111111111,-0.362222222222222,0.248888888888889,0.21,0.308333333333333,0.1,Wyndham Championship,PGA Tour
Maverick McNealy  ,0.163333333333333,0.525,-0.00333333333333334,0.535,0.311666666666667,-0.13,0.683333333333334,-0.03,Wyndham Championship,PGA Tour
Mac Meissner,-0.12375,0.535,0.11875,0.48875,0.29625,-0.01,0.815,0.08,Wyndham Championship,PGA Tour
Keith Mitchell,0.62375,0.4175,0.335,-0.21625,-0.0775,-0.12,0.488,0.08,Wyndham Championship,PGA Tour
Taylor Moore,0.272,0.158,-0.192,-0.02,-0.044,-0.18,-0.666666666666667,0.08,Wyndham Championship,PGA Tour
William Mouw,0.235714285714286,0.148571428571429,0.645714285714286,-0.477142857142857,-0.262857142857143,-0.01,0.258,-0.01,Wyndham Championship,PGA Tour
Rasmus Neergaard-Petersen,0.66375,0.26125,-0.19375,0.1375,-0.1925,0.08,0.536,-0.04,Wyndham Championship,PGA Tour
Alex Noren,0.2,0.692857142857143,-0.205714285714286,0.672857142857143,-0.0342857142857143,0.19,-0.2975,0.06,Wyndham Championship,PGA Tour
Andrew Novak  ,0.266666666666667,0.0911111111111111,0.141111111111111,-0.868888888888889,0.425555555555556,0,-0.53,0.01,Wyndham Championship,PGA Tour
Pontus Nyholm,0.0657142857142857,0.0714285714285714,-0.487142857142857,-0.02,-0.155714285714286,-0.31,-0.83,-0.04,Wyndham Championship,PGA Tour
Thorbjorn Olesen,-0.228,0,-0.08,-0.152,-0.154,0,-0.9625,-0.03,Wyndham Championship,PGA Tour
John Parry,-0.28625,0.21125,0.44875,-0.66125,0.21625,0.17,-0.616,-0.04,Wyndham Championship,PGA Tour
Matthieu Pavon,0.673333333333333,0.04,-0.415,-0.838333333333333,0.0166666666666667,0.05,-0.895,-0.03,Wyndham Championship,PGA Tour
Taylor Pendrith  ,0.133,0.147,-0.019,-0.162,0.037,-0.19,-0.8,-0.02,Wyndham Championship,PGA Tour
Marco Penge,0.683333333333333,0.34,0.286666666666667,-0.296666666666667,-0.09,-0.31,0.626666666666667,-0.04,Wyndham Championship,PGA Tour
Chandler Phillips,-0.161428571428571,0.29,-0.377142857142857,-0.08,0.558571428571429,0.03,0.294,0.03,Wyndham Championship,PGA Tour
J.T. Poston  ,0.351428571428571,1.04,-0.0242857142857143,0.542857142857143,-0.135714285714286,0.16,0.825,0.17,Wyndham Championship,PGA Tour
Aldrich Potgieter  ,0.432857142857143,0.26,-0.121428571428571,0.215714285714286,-0.368333333333333,-0.42,-0.725,-0.04,Wyndham Championship,PGA Tour
Seamus Power,-0.37,0.166666666666667,-0.681666666666667,0.5,0.0566666666666667,0.05,-0.2975,0.1,Wyndham Championship,PGA Tour
Andrew Putnam,-0.80375,0.11375,0.235,0.46625,0.315714285714286,0.39,-0.408,0.04,Wyndham Championship,PGA Tour
Aaron Rai  ,0.415,0.84,0.641666666666667,0.00666666666666668,0.188333333333333,0.4,0.6725,0.07,Wyndham Championship,PGA Tour
Chad Ramey,-0.254285714285714,0,-0.9,-0.402857142857143,0.07,0,-1.444,-0.01,Wyndham Championship,PGA Tour
Davis Riley  ,-0.36625,0.03,-0.5825,0.4975,-0.22875,-0.24,-0.742,0.04,Wyndham Championship,PGA Tour
Patrick Rodgers  ,-0.165,0.03,-0.535,0.01375,-0.25875,-0.19,-1.61,0.17,Wyndham Championship,PGA Tour
Kevin Roy,0.10375,0.3525,-0.2525,-0.03375,-0.05,0,-0.391666666666667,-0.03,Wyndham Championship,PGA Tour
Marcelo Rozo,0.435,0,-0.4025,-0.70625,-0.5125,0.24,-1.33833333333333,-0.04,Wyndham Championship,PGA Tour
Adrien Saddier,-0.114,0.09,-0.21,-0.056,-0.124,0.01,-0.333333333333333,-0.04,Wyndham Championship,PGA Tour
Gordon Sargent,0.232,0.062,-1.896,0.036,0.39,-0.38,0,-0.02,Wyndham Championship,PGA Tour
Adam Schenk,-0.417142857142857,0,-0.337142857142857,-0.427142857142857,-0.518571428571429,-0.07,-0.8325,-0.04,Wyndham Championship,PGA Tour
Matti Schmid  ,0.0833333333333333,0.19,-0.165,-0.34,-0.235,-0.19,-0.843333333333333,0.06,Wyndham Championship,PGA Tour
Ben Silverman,-0.0628571428571429,0.0957142857142857,-0.16,0.47,-0.218571428571429,0.15,-0.28,-0.01,Wyndham Championship,PGA Tour
Webb Simpson,-0.82,0,-0.52,0.375,-0.25,-0.04,-1.81,0.36,Wyndham Championship,PGA Tour
Alex Smalley,0.231428571428571,0.928571428571429,0.345714285714286,0.474285714285714,-0.191428571428571,0.05,-0.2975,0.06,Wyndham Championship,PGA Tour
Jordan Smith,0.411428571428571,0.387142857142857,0.518571428571429,-0.231428571428571,-0.218571428571429,0.13,1.1475,-0.04,Wyndham Championship,PGA Tour
Austin Smotherman,-0.0716666666666667,0.035,0.586666666666667,-0.993333333333333,-0.731666666666667,0.2,-1.16,0.01,Wyndham Championship,PGA Tour
Brandt Snedeker,-0.717142857142857,0.211428571428571,-0.124285714285714,0.238571428571429,0.372857142857143,0.36,0.034,0.17,Wyndham Championship,PGA Tour
Jordan Spieth  ,0.40375,0.20625,-0.12625,-0.1325,-0.0575,-0.09,-0.4975,0.04,Wyndham Championship,PGA Tour
Sam Stevens  ,0.157777777777778,0.102222222222222,0.0111111111111111,-0.563333333333333,0.0533333333333333,-0.06,-0.64,-0.06,Wyndham Championship,PGA Tour
Sepp Straka  ,-0.161666666666667,0.0366666666666667,0.106666666666667,-0.256666666666667,-0.315,0.09,-0.353333333333333,0,Wyndham Championship,PGA Tour
Kevin Streelman,-0.058,0.074,0.122,-0.454,-0.348,0.14,0,0.15,Wyndham Championship,PGA Tour
Jackson Suber,0.08125,0.71625,0.545,0.10125,0.19125,-0.04,0.711666666666667,-0.04,Wyndham Championship,PGA Tour
Adam Svensson,-0.63,0,-0.0957142857142857,-0.158571428571429,-0.0585714285714286,0.13,-0.966,0.1,Wyndham Championship,PGA Tour
Jesper Svensson,0.72,0.252,-0.55,-0.23,0.018,-0.21,-0.36,-0.04,Wyndham Championship,PGA Tour
Nick Taylor  ,-0.20125,0.43875,0.015,0.78375,0.06,0.13,0.222,0.12,Wyndham Championship,PGA Tour
Sahith Theegala,-0.03375,0.1175,0.2025,-0.115,0.33125,-0.11,0.39,-0.05,Wyndham Championship,PGA Tour
Justin Thomas  ,0.362857142857143,0.922857142857143,0.37,0.307142857142857,0.617142857142857,-0.04,1.5875,0.02,Wyndham Championship,PGA Tour
Davis Thompson,0.2,0.452857142857143,0.311428571428571,-0.0814285714285714,-0.234285714285714,0.02,0.844,0.08,Wyndham Championship,PGA Tour
Alejandro Tosti,0.30375,0.02875,-1.1025,-0.95875,-0.10375,-0.24,-1.405,-0.04,Wyndham Championship,PGA Tour
Erik van Rooyen  ,-0.251666666666667,0.176666666666667,-0.14,0.621666666666667,0.146666666666667,-0.12,0.00749999999999999,-0.02,Wyndham Championship,PGA Tour
John VanDerLaan,0.125714285714286,0.0285714285714286,-0.501428571428571,-0.567142857142857,0.0185714285714286,-0.07,-0.9,-0.04,Wyndham Championship,PGA Tour
Karl Vilips,-0.466666666666667,0.0933333333333333,-0.248333333333333,-0.146666666666667,0.0933333333333333,-0.17,-0.7725,0.02,Wyndham Championship,PGA Tour
Camilo Villegas,-0.755,0.0216666666666667,-0.181666666666667,0.301666666666667,0.231666666666667,-0.03,-0.68,0.25,Wyndham Championship,PGA Tour
Danny Walker,-0.191428571428571,0.0228571428571429,-0.604285714285714,-0.635714285714286,-0.597142857142857,-0.22,-2.178,-0.03,Wyndham Championship,PGA Tour
Matt Wallace,0.156666666666667,0.343333333333333,0.633333333333333,-0.0816666666666667,0.278,0,0.376666666666667,0.07,Wyndham Championship,PGA Tour
Vince Whaley,-0.57,0,-0.795714285714286,0.247142857142857,0.25,-0.26,-1.02,0,Wyndham Championship,PGA Tour
Aaron Wise,-0.046,0.134,0.198,-0.448,-0.044,-0.09,0.796666666666667,0.05,Wyndham Championship,PGA Tour
Dylan Wu,-0.635,0.02375,0.02125,-0.14375,-0.125,0.06,-0.716666666666667,-0.06,Wyndham Championship,PGA Tour
Cameron Young,0.833333333333333,3.19,0.655,-0.201666666666667,0.286666666666667,-0.09,1.16333333333333,0.08,Wyndham Championship,PGA Tour
Kevin Yu  ,0.415714285714286,0.312857142857143,0.164285714285714,-0.08,-0.03,-0.08,1.132,-0.06,Wyndham Championship,PGA Tour
