player_1,player_2,win_percent,wins_of_10000
Zach Bauchou,Christiaan Bezuidenhout,41.0,4096
Zach Bauchou,Daniel Berger,64.0,6403
Zach Bauchou,Zac Blair,37.0,3704
Zach Bauchou,Chandler Blanchet,58.2,5820
Zach Bauchou,Keegan Bradley,39.8,3982
Zach Bauchou,Michael Brennan,48.1,4808
Zach Bauchou,Brian Campbell,62.0,6197
Zach Bauchou,Rafael Campos,68.0,6796
Zach Bauchou,Ricky Castillo,49.1,4913
Zach Bauchou,Bud Cauley,35.7,3570
Zach Bauchou,Davis Chatfield,49.2,4920
Zach Bauchou,Luke Clanton,53.5,5345
Zach Bauchou,Eric Cole,45.1,4506
Zach Bauchou,Pierceson Coody,60.3,6033
Zach Bauchou,Joel Dahmen,46.8,4683
Zach Bauchou,Cam Davis,72.4,7240
Zach Bauchou,Jason Day,60.4,6043
Zach Bauchou,Zecheng Dou,56.9,5685
Zach Bauchou,Adrien Dumont de Chassart,60.2,6020
Zach Bauchou,Nick Dunlap,66.6,6658
Zach Bauchou,Nico Echavarria,46.6,4665
Zach Bauchou,Austin Eckroat,54.7,5469
Zach Bauchou,Harris English,44.1,4410
Zach Bauchou,Tony Finau,58.2,5815
Zach Bauchou,Patrick Fishburn,50.9,5089
Zach Bauchou,Steven Fisk,61.4,6140
Zach Bauchou,Alex Fitzpatrick,33.6,3362
Zach Bauchou,Brice Garnett,53.7,5368
Zach Bauchou,Ryan Gerard,34.8,3478
Zach Bauchou,Doug Ghim,37.7,3766
Zach Bauchou,Lucas Glover,50.8,5078
Zach Bauchou,Max Greyserman,59.0,5900
Zach Bauchou,Ben Griffin,34.4,3443
Zach Bauchou,Lanto Griffin,60.2,6024
Zach Bauchou,Emiliano Grillo,38.0,3798
Zach Bauchou,Harry Hall,61.9,6192
Zach Bauchou,Brian Harman,39.1,3909
Zach Bauchou,Garrick Higgo,66.0,6596
Zach Bauchou,Joe Highsmith,65.0,6500
Zach Bauchou,Kensei Hirata,70.1,7014
Zach Bauchou,Ryo Hisatsune,46.3,4627
Zach Bauchou,Lee Hodges,45.3,4535
Zach Bauchou,Rico Hoey,53.0,5299
Zach Bauchou,Tom Hoge,52.9,5294
Zach Bauchou,Rasmus Hojgaard,62.2,6221
Zach Bauchou,Billy Horschel,47.4,4742
Zach Bauchou,Beau Hossler,48.5,4855
Zach Bauchou,Mark Hubbard,55.1,5511
Zach Bauchou,Mackenzie Hughes,48.5,4855
Zach Bauchou,Sungjae Im,48.4,4836
Zach Bauchou,Stephan Jaeger,62.9,6291
Zach Bauchou,Ben James,43.4,4339
Zach Bauchou,Takumi Kanaya,54.9,5490
Zach Bauchou,Jeffrey Kang,61.3,6129
Zach Bauchou,Johnny Keefer,49.7,4972
Zach Bauchou,Michael Kim,46.9,4692
Zach Bauchou,Tom Kim,32.7,3269
Zach Bauchou,Chris Kirk,51.5,5150
Zach Bauchou,Patton Kizzire,86.4,8643
Zach Bauchou,Brooks Koepka,47.9,4793
Zach Bauchou,Ben Kohles,31.3,3135
Zach Bauchou,Jackson Koivun,34.3,3426
Zach Bauchou,Matt Kuchar,41.2,4122
Zach Bauchou,Christo Lamprecht,88.0,8805
Zach Bauchou,Hank Lebioda,63.8,6384
Zach Bauchou,Haotong Li,67.7,6765
Zach Bauchou,David Lipsky,52.7,5274
Zach Bauchou,Luke List,56.8,5684
Zach Bauchou,Justin Lower,58.8,5883
Zach Bauchou,Peter Malnati,72.6,7255
Zach Bauchou,Hideki Matsuyama,35.6,3561
Zach Bauchou,Denny McCarthy,46.8,4680
Zach Bauchou,Matt McCarty,52.4,5244
Zach Bauchou,Max McGreevy,46.7,4671
Zach Bauchou,Maverick McNealy,45.6,4559
Zach Bauchou,Mac Meissner,42.7,4266
Zach Bauchou,Keith Mitchell,46.1,4608
Zach Bauchou,Taylor Moore,59.1,5914
