Player,Country,DG Rank,OWGR,SG Total,SG OTT,SG APP,SG ARG,SG PUTT,Driving Dist,Driving Acc,Course Fit,Form,History,Points
Scottie Scheffler,USA,1,1,2.944,0.811,1.154,0.334,0.646,7.177,0.055,0.02,3.115,-0.04,4.831
Ludvig Aberg,SWE,8,17,1.884,0.757,0.797,0.122,0.208,12.697,0.014,0.06,1.18,-0.04,1.411
Xander Schauffele,USA,7,10,1.858,0.778,0.694,0.144,0.243,13.543,0.012,0.06,1.323,-0.01,1.494
Tommy Fleetwood,ENG,2,5,1.828,0.491,0.605,0.386,0.346,-1.902,0.088,-0.01,2.042,-0.02,2.204
Matt Fitzpatrick,ENG,4,4,1.785,0.279,0.802,0.384,0.32,-0.12,0.053,-0.01,2.208,-0.03,2.046
Rory McIlroy,NIR,5,2,1.759,0.9,0.5,0.121,0.238,20.536,-0.027,0.09,1.135,-0.03,1.116
Cameron Young,USA,11,3,1.713,0.699,0.755,0.203,0.057,13.068,-0.0,0.06,0.855,-0.04,0.727
Si Woo Kim,KOR,6,13,1.703,0.535,0.826,0.236,0.106,-3.965,0.095,-0.01,1.407,-0.06,1.726
Sam Burns,USA,3,7,1.686,0.289,0.688,0.069,0.64,8.494,-0.009,0.02,2.227,-0.04,3.84
Chris Gotterup,USA,15,9,1.535,0.705,0.549,0.013,0.267,15.653,-0.032,0.06,1.202,-0.04,1.107
Viktor Hovland,NOR,16,14,1.493,0.331,0.817,0.166,0.18,1.629,0.046,0.01,1.413,-0.04,1.11
Patrick Cantlay,USA,10,38,1.462,0.341,0.78,0.183,0.158,2.697,0.021,0.0,1.117,-0.01,0.907
Hideki Matsuyama,JPN,12,25,1.447,0.258,0.656,0.342,0.19,-1.097,0.035,-0.02,1.962,-0.01,1.314
Collin Morikawa,USA,13,11,1.387,0.429,0.792,0.021,0.144,-1.594,0.087,0.01,1.56,-0.04,0.877
Wyndham Clark,USA,14,8,1.277,0.063,0.376,0.338,0.5,6.806,-0.044,-0.01,1.558,-0.04,2.978
Ryan Gerard,USA,19,26,1.25,0.419,0.423,0.08,0.329,2.347,0.037,0.01,0.916,-0.04,0.809
Tom Kim,KOR,28,28,1.227,0.119,0.711,0.191,0.207,-2.511,0.042,-0.02,1.708,-0.04,1.858
Min Woo Lee,AUS,40,27,1.222,0.465,0.341,0.241,0.174,14.742,-0.02,0.06,-0.41,-0.04,0.425
Russell Henley,USA,9,6,1.169,0.309,0.327,0.107,0.426,-10.121,0.119,-0.04,1.317,-0.01,1.032
J.J. Spaun,USA,20,16,1.105,0.434,0.637,0.167,-0.133,0.346,0.052,0.01,0.417,0.0,0.871
Robert MacIntyre,SCO,31,19,1.004,0.224,0.212,0.156,0.413,1.52,0.01,-0.01,1.59,-0.04,0.561
Alex Smalley,USA,37,45,0.908,0.191,0.478,0.004,0.235,1.829,0.03,0.01,0.305,-0.04,0.816
Alex Fitzpatrick,ENG,58,70,0.867,0.456,0.562,0.044,-0.195,1.347,0.047,0.02,0.28,-0.04,0.887
Adam Scott,AUS,34,51,0.864,0.353,0.5,-0.016,0.027,6.295,-0.009,0.03,-0.17,0.03,0.498
Jacob Bridgeman,USA,35,31,0.848,0.107,0.237,0.045,0.458,-0.59,0.018,-0.02,1.02,-0.04,0.432
Justin Rose,ENG,29,12,0.821,0.186,0.538,0.007,0.089,2.639,0.011,0.01,0.22,-0.01,0.765
Kristoffer Reitan,NOR,48,29,0.784,0.488,0.181,-0.133,0.247,7.927,-0.0,0.04,-0.228,-0.04,0.773
Ryan Fox,NZL,47,24,0.62,0.221,0.233,-0.005,0.172,7.484,-0.043,0.02,0.833,0.0,0.659
Akshay Bhatia,USA,62,33,0.534,-0.31,0.323,0.137,0.384,-0.319,-0.027,-0.03,0.23,-0.04,0.337
Gary Woodland,USA,68,47,0.499,0.531,0.181,-0.239,0.026,10.577,0.003,0.06,-0.323,0.01,0.626
