Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour,,,,,,,
Ludvig Aberg  ,0.6343,1.7129,0.8986,0.2657,0.2271,-0.0500,1.67,0.0500,Scottish Open,PGA Tour,,,,,,,
Marcus Armitage,-0.3140,0.2440,-0.0780,0.6300,-0.2200,-0.0500,0.08,0.0300,Scottish Open,PGA Tour,,,,,,,
Angel Ayora,0.6050,0.3160,-0.4275,-0.4825,0.0925,0.1000,-0.15,-0.0400,Scottish Open,PGA Tour,,,,,,,
Zach Bauchou,0.1450,0.3425,0.2900,-0.1550,0.1475,-0.0500,0.22,-0.0400,Scottish Open,PGA Tour,,,,,,,
Dan Bradbury,0.2133,0.0533,0.2633,-0.5433,-0.2533,-0.0800,-0.88,-0.0400,Scottish Open,PGA Tour,,,,,,,
Michael Brennan,1.0233,0.2933,0.0333,-0.3000,-0.3583,0.1500,-0.03,-0.0400,Scottish Open,PGA Tour,,,,,,,
Dan Brown,0.0300,0.0000,0.1425,-0.4150,-0.9125,-0.0700,-0.94,0.0300,Scottish Open,PGA Tour,,,,,,,
Brian Campbell  ,-0.6613,0.0225,-0.3538,0.0550,0.1038,-0.2300,-1.00,-0.0400,Scottish Open,PGA Tour,,,,,,,
Laurie Canter,0.2133,0.1500,0.1867,-0.8267,-0.1467,-0.0400,0.01,-0.0100,Scottish Open,PGA Tour,,,,,,,
Patrick Cantlay  ,0.4680,1.2020,0.9075,-0.1120,0.3600,-0.1100,1.88,0.0000,Scottish Open,PGA Tour,,,,,,,
Ricky Castillo,0.0675,0.0525,0.0025,-0.1900,0.1767,0.0100,-0.06,-0.0400,Scottish Open,PGA Tour,,,,,,,
Bud Cauley  ,0.5157,0.8871,0.5129,0.0743,0.4900,-0.1200,1.32,-0.0200,Scottish Open,PGA Tour,,,,,,,
Eugenio Chacarra,0.4100,0.8186,0.4540,0.4240,0.0120,-0.0200,1.17,-0.0400,Scottish Open,PGA Tour,,,,,,,
