Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour,,,,,,,
Ludvig Aberg  ,0.6025,1.4988,0.8513,0.1688,0.1938,-0.1900,1.40,-0.0400,The Open,PGA Tour,,,,,,,
Angel Ayora,0.5940,0.2633,-0.4260,-0.6340,0.1740,-0.1800,-0.33,-0.0400,The Open,PGA Tour,,,,,,,
Daniel Berger,0.0943,0.1871,0.3571,-0.5286,-0.0586,-0.0200,-0.27,-0.0100,The Open,PGA Tour,,,,,,,
Akshay Bhatia  ,-0.2971,0.5257,0.1529,0.8157,0.1971,-0.0100,0.91,-0.0400,The Open,PGA Tour,,,,,,,
Dan Bradbury,0.0825,0.0400,0.3850,-0.5350,-0.2000,0.0300,-0.42,-0.0400,The Open,PGA Tour,,,,,,,
Keegan Bradley  ,0.2625,0.6463,0.3850,0.1550,0.3150,-0.1000,1.24,-0.0400,The Open,PGA Tour,,,,,,,
Michael Brennan,0.9480,0.2514,0.1457,-0.4214,-0.3057,-0.2900,0.01,-0.0400,The Open,PGA Tour,,,,,,,
Jacob Bridgeman  ,0.2638,0.2800,0.2925,0.0600,-0.0700,-0.0200,0.64,-0.0400,The Open,PGA Tour,,,,,,,
Blades Brown,0.4900,0.8500,0.6300,0.5800,0.2600,-0.1200,1.70,-0.0400,The Open,PGA Tour,,,,,,,
Dan Brown,-0.0620,0.0000,0.6720,-0.6860,-0.6520,0.1000,-0.75,-0.0400,The Open,PGA Tour,,,,,,,
Sam Burns,0.3700,1.7257,0.9357,0.8886,0.1386,-0.1400,2.20,-0.0400,The Open,PGA Tour,,,,,,,
Laurie Canter,0.1825,0.1575,0.3725,-0.8075,-0.0875,-0.0100,0.14,0.0200,The Open,PGA Tour,,,,,,,
Patrick Cantlay  ,0.3350,1.0017,0.7860,-0.0233,0.4700,-0.0700,1.50,-0.0400,The Open,PGA Tour,,,,,,,
Bud Cauley  ,0.4538,0.7763,0.4650,-0.2588,0.4163,-0.0100,1.27,-0.0400,The Open,PGA Tour,,,,,,,
Eugenio Chacarra,0.3517,0.7163,0.5900,0.3217,-0.0133,-0.1200,1.09,-0.0400,The Open,PGA Tour,,,,,,,
Wyndham Clark  ,0.3243,3.1643,0.4000,1.1386,0.6357,-0.1200,3.04,-0.0400,The Open,PGA Tour,,,,,,,
Eric Cole,-0.2986,0.7429,0.3886,0.7729,0.3471,0.0300,1.01,-0.0400,The Open,PGA Tour,,,,,,,
Corey Conners  ,0.1000,0.2500,0.3688,-0.1500,0.1263,0.0300,0.51,-0.0400,The Open,PGA Tour,,,,,,,
Pierceson Coody,0.4238,0.3513,-0.2163,0.3513,-0.3838,-0.1900,0.26,-0.0400,The Open,PGA Tour,,,,,,,
Martin Couvra,-0.0217,0.0850,-0.2000,-0.3367,0.0017,0.0500,-1.01,-0.0400,The Open,PGA Tour,,,,,,,
Jason Day  ,-0.0917,0.0567,-0.6283,0.0633,0.7333,0.0100,-0.35,0.0000,The Open,PGA Tour,,,,,,,
Bryson DeChambeau,0.7340,0.4040,0.1820,0.2600,-0.7425,-0.3100,1.17,-0.0600,The Open,PGA Tour,,,,,,,
Thomas Detry  ,0.2180,0.3240,0.3060,0.1460,-0.0760,-0.0900,-0.06,-0.0400,The Open,PGA Tour,,,,,,,
Hennie Du Plessis,0.1050,0.0217,0.0117,-1.1983,0.1200,-0.1200,-0.97,-0.0400,The Open,PGA Tour,,,,,,,
Nico Echavarria  ,-0.2175,0.1688,-0.0050,0.2038,-0.0775,0.0700,0.69,-0.0400,The Open,PGA Tour,,,,,,,
Harris English  ,0.3486,0.5371,0.0829,0.5057,0.4300,-0.0300,1.06,-0.0400,The Open,PGA Tour,,,,,,,
Alex Fitzpatrick,0.5833,1.4350,1.1267,-0.0700,0.0333,-0.0100,1.69,-0.0400,The Open,PGA Tour,,,,,,,
Matt Fitzpatrick  ,0.2700,2.8729,1.0100,0.2271,0.7957,-0.0100,2.13,-0.0100,The Open,PGA Tour,,,,,,,
Tommy Fleetwood  ,0.6689,1.2467,0.4844,0.4233,0.2456,0.0000,2.25,-0.0100,The Open,PGA Tour,,,,,,,
Rickie Fowler  ,0.2788,0.5488,0.1700,-0.2525,0.1438,-0.0100,0.15,-0.0100,The Open,PGA Tour,,,,,,,
Ryan Fox  ,0.3450,0.5150,0.4725,-0.0425,0.0763,-0.1100,0.87,-0.0300,The Open,PGA Tour,,,,,,,
Ryan Gerard  ,0.1425,0.4050,0.4200,0.4663,-0.0938,-0.0300,0.90,-0.0400,The Open,PGA Tour,,,,,,,
Chris Gotterup  ,0.7388,1.0425,0.5438,0.6700,-0.0925,-0.2700,1.89,-0.0400,The Open,PGA Tour,,,,,,,
Max Greyserman  ,0.2875,0.2950,-0.5438,-0.0450,0.0713,-0.1400,0.34,-0.0400,The Open,PGA Tour,,,,,,,
Ben Griffin  ,0.2388,1.2688,0.0675,0.8225,0.6188,-0.0300,1.44,-0.0400,The Open,PGA Tour,,,,,,,
Harry Hall  ,-0.4911,0.1167,0.0356,0.2200,0.1756,0.0100,-0.27,-0.0400,The Open,PGA Tour,,,,,,,
Brian Harman  ,-0.1689,0.3722,0.5000,0.3778,0.1844,0.1100,1.02,-0.0500,The Open,PGA Tour,,,,,,,
Padraig Harrington,-1.0450,0.0000,0.3050,-0.5400,0.5950,0.0800,-2.32,0.0400,The Open,PGA Tour,,,,,,,
Tyrell Hatton,0.1840,2.1000,0.6480,0.6460,0.5950,-0.0700,1.74,-0.0500,The Open,PGA Tour,,,,,,,
Russell Henley  ,0.4857,1.3214,0.3771,0.1314,0.1614,0.1400,1.28,-0.0100,The Open,PGA Tour,,,,,,,
Daniel Hillier,0.6067,0.1471,-0.0333,-0.9950,-0.3683,-0.1200,-0.72,-0.0400,The Open,PGA Tour,,,,,,,
Ryo Hisatsune,0.3889,0.3589,0.3467,-0.0600,-0.1189,-0.0300,0.68,-0.0400,The Open,PGA Tour,,,,,,,
Nicolai Hojgaard,0.3075,0.3213,0.4188,-0.2950,0.1550,-0.2700,0.23,-0.0400,The Open,PGA Tour,,,,,,,
Rasmus Hojgaard,0.3275,0.0725,-0.4550,-0.3125,-0.1075,-0.2400,-0.11,-0.0400,The Open,PGA Tour,,,,,,,
Max Homa,0.1413,0.5463,-0.3963,0.5800,0.1257,-0.0600,0.60,-0.0400,The Open,PGA Tour,,,,,,,
Billy Horschel,-0.0750,0.0713,0.2638,-0.0925,-0.5075,0.0500,-0.46,-0.0500,The Open,PGA Tour,,,,,,,
Viktor Hovland  ,0.4129,1.0686,0.8643,0.1357,0.3150,-0.0500,1.47,-0.0400,The Open,PGA Tour,,,,,,,
Sungjae Im  ,0.3340,0.2680,-0.6100,0.1160,0.3720,0.0100,0.14,-0.0400,The Open,PGA Tour,,,,,,,
Casey Jarvis,0.1286,0.0900,0.2986,-0.6014,-0.3429,0.0500,-0.26,-0.0400,The Open,PGA Tour,,,,,,,
